SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
GABRIEL,1.0,Gabriel India,624.1,42.56,8964.81,13.56,25.63,0.02,2.43,55.0,14.67,5.23,11.02,4.1,0.0,53.04,33.11,Auto Ancillaries,False
LUMAXTECH,7.0,Lumax Auto Tech.,620.55,25.84,4229.57,23.63,23.0,7.52,8.16,55.98,16.09,5.31,28.79,9.38,0.0,4.74,16.06,Auto Ancillaries,False
SSWL,3.0,Steel Str. Wheel,236.3,17.67,3708.22,15.46,2.24,14.82,19.02,61.24,5.05,6.71,2.26,4.72,0.26,3.81,31.11,Auto Ancillaries,False
MARUTI,3.0,Maruti Suzuki,13045.05,28.27,410139.73,6.37,-1.04,5.56,4.94,58.28,23.56,14.96,8.08,4.64,0.0,104.31,2.14,Automobile,True
M&amp;M,2.0,M & M,3135.7,30.13,389933.34,20.16,19.65,2.72,-2.28,18.45,29.77,38.3,14.65,4.29,-0.03,2.93,6.85,Automobile,False
EICHERMOT,5.0,Eicher Motors,5548.6,32.1,152122.7,23.15,27.25,5.39,16.37,49.08,16.55,25.02,14.63,6.08,-0.01,108.41,16.22,Automobile,True
HYUNDAI,6.0,Hyundai Motor I,1820.75,24.82,147943.44,-2.1,-19.31,-3.76,-15.97,82.5,7.0,7.17,,7.58,0.0,51.61,1.64,Automobile,False
TVSMOTOR,4.0,TVS Motor Co.,2807.05,60.37,133359.33,16.09,68.86,4.6,14.47,50.27,19.73,21.48,13.49,5.11,0.0,2.8,16.17,Automobile,True
ASHOKLEY,8.0,Ashok Leyland,239.55,25.23,70344.52,8.14,37.61,7.6,6.93,51.35,14.06,23.5,4.7,9.5,-0.04,2.12,11.93,Automobile,True
FORCEMOT,1.0,Force Motors,11091.8,26.75,14614.86,17.14,26.81,24.69,276.92,61.63,1.43,8.36,15.84,1.41,0.0,38.64,70.87,Automobile,False
HDFCBANK,3.0,HDFC Bank,1934.0,20.88,1480591.51,9.25,6.88,2.05,5.15,0.0,35.68,48.3,21.68,2.27,0.0,1.54,14.1,Banks,True
ICICIBANK,1.0,ICICI Bank,1453.55,20.27,1036251.03,13.57,15.69,2.87,3.66,0.0,44.77,45.83,16.87,0.2,0.0,1.83,15.13,Banks,True
KOTAKBANK,8.0,Kotak Mah. Bank,2093.7,21.65,416279.96,10.66,-7.58,0.83,4.93,25.88,29.13,32.65,16.96,9.04,-0.01,1.89,7.89,Banks,True
AXISBANK,12.0,Axis Bank,1207.5,13.31,374124.93,7.35,-1.63,0.9,10.77,8.18,40.87,43.94,13.12,9.86,-0.05,1.55,21.21,Banks,True
INDIANB,6.0,Indian Bank,595.9,7.14,80265.59,8.38,29.88,0.57,2.47,73.84,17.78,4.74,11.54,5.82,0.0,1.45,15.82,Banks,True
AUBANK,9.0,AU Small Finance,683.85,24.15,50924.03,50.93,16.24,3.82,-4.68,22.87,27.16,35.58,52.21,9.47,-0.01,1.3,29.01,Banks,True
FEDERALBNK,7.0,Federal Bank,198.3,11.71,48706.1,12.13,12.38,-2.16,17.78,0.0,49.07,26.28,19.47,8.62,0.0,1.32,9.85,Banks,True
KARURVYSYA,10.0,Karur Vysya Bank,222.7,9.51,17928.38,16.2,20.5,4.28,4.74,2.11,38.87,15.12,19.98,9.53,-0.02,1.47,-1.38,Banks,False
POWERINDIA,2.0,Hitachi Energy,15760.45,182.97,70248.03,11.11,61.79,16.26,33.86,71.31,12.34,4.96,22.37,7.19,-3.69,42.18,37.92,Capital Goods - Electrical Equipment,False
TDPOWERSYS,1.0,TD Power Systems,494.15,44.21,7717.8,31.95,82.64,-0.61,18.01,33.22,24.91,19.12,28.93,1.08,-1.05,141.68,46.56,Capital Goods - Electrical Equipment,False
ELECON,6.0,Elecon Engg.Co,679.65,36.71,15251.35,41.26,41.32,50.8,36.21,59.27,4.39,8.65,17.71,8.04,0.0,38.65,47.45,Capital Goods-Non Electrical Equipment,False
AJAXENGG,3.0,Ajax Engineering,727.0,36.84,8317.35,37.27,26.31,82.13,100.21,80.0,7.92,5.95,,3.93,0.0,164.52,,Capital Goods-Non Electrical Equipment,False
SWARAJENG,8.0,Swaraj Engines,4080.65,29.86,4956.97,29.41,29.11,31.45,42.16,52.12,9.89,3.47,19.26,8.89,0.0,766.25,46.21,Capital Goods-Non Electrical Equipment,False
522650,4.0,Bemco Hydraulics,2270.0,52.73,496.37,62.9,182.05,-11.94,-4.9,74.69,0.0,0.0,36.09,4.9,0.0,8.1,60.7,Capital Goods-Non Electrical Equipment,False
