S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
11.,Punjab Chemicals,1112.40,32.51,1363.80,2.93,295.02,-5.43,16.14,39.22,0.55,3.06,-3.12,29.37,0.00,4.07,40.90,PUNJABCHEM,Agro Chemicals
12.,Phyto Chem (I),30.17,,12.97,-43.93,424.14,-16.48,1281.82,40.40,0.19,0.00,190.08,29.67,0.00,3.90,-8.10,524808,Agro Chemicals
13.,Bayer Crop Sci.,4983.65,43.02,22397.58,10.68,-63.27,-39.17,-74.91,71.43,11.56,3.49,-0.25,30.75,0.00,10.08,10.57,BAYERCROP,Agro Chemicals
14.,Meghmani Organi.,79.43,,2020.02,34.98,210.36,-2.65,551.48,49.41,0.48,1.81,37.00,31.53,0.08,2.58,9.80,MOL,Agro Chemicals
15.,Shivalik Rasayan,597.50,57.25,929.74,21.47,72.22,3.48,56.66,47.37,0.64,4.28,18.62,32.03,-0.58,4.46,-6.76,SHIVALIK,Agro Chemicals
16.,Excel Industries,1194.00,17.58,1500.95,6.12,86.06,26.19,100.16,52.66,6.98,2.05,19.59,32.16,0.09,63.65,25.37,EXCELINDUS,Agro Chemicals
17.,Insecticid.India,731.20,16.18,2164.19,0.36,22.25,-42.73,-75.65,72.30,9.59,4.50,-3.66,32.59,0.00,15.24,29.76,INSECTICID,Agro Chemicals
18.,Bhagiradha Chem.,301.65,178.11,3911.48,38.13,8.13,-0.96,-34.01,19.74,2.89,0.04,6.07,32.67,-0.53,3.27,-1.12,BHAGCHEM,Agro Chemicals
19.,Sikko Industries,82.31,30.98,179.77,-13.84,-0.76,-23.63,-38.10,54.96,0.00,4.77,20.17,33.40,-16.49,23.88,16.98,SIKKO,Agro Chemicals
20.,Bharat Rasayan,9503.65,25.88,3949.02,10.07,71.72,-21.80,-26.05,74.99,2.75,0.49,13.72,33.47,0.00,36.15,-4.95,BHARATRAS,Agro Chemicals
21.,India Pesticides,166.30,29.50,1915.17,14.30,-28.88,-24.72,-34.44,63.61,0.00,1.84,4.00,36.98,0.00,23.77,22.57,IPL,Agro Chemicals
22.,Dharmaj Crop,243.80,24.34,823.98,41.40,-84.73,-43.95,-94.39,70.40,0.47,4.14,43.33,37.43,0.00,1.47,23.26,DHARMAJ,Agro Chemicals
23.,Bhaskar Agrochem,72.55,16.73,37.80,19.76,19.59,-24.63,-44.16,62.20,0.00,0.00,17.06,40.49,0.00,6.58,-4.53,524534,Agro Chemicals
24.,Daikaffil Chem,164.00,,98.40,,-28.57,,37.93,52.65,0.00,0.00,,41.64,1.40,,1.30,530825,Agro Chemicals
25.,Super Crop Safe,14.65,21.18,58.91,15.02,19.74,2.53,59.65,34.52,0.00,0.00,51.33,44.59,-0.30,2.84,-17.85,530883,Agro Chemicals
26.,Astec Lifescienc,729.50,,1430.65,-22.26,-1575.00,27.35,60.17,70.87,4.34,0.25,1.68,50.96,4.12,-0.51,-13.95,ASTEC,Agro Chemicals
27.,Best Agrolife,346.95,42.53,820.35,-12.84,-265.51,-63.29,-125.52,50.44,2.74,5.80,-14.13,52.63,0.34,-1.03,-16.32,BESTAGRO,Agro Chemicals
28.,Heranba Inds,263.15,24.07,1052.95,13.89,-173.20,-21.98,-127.54,74.94,0.21,0.10,6.10,53.18,0.00,-0.20,-4.66,HERANBA,Agro Chemicals
29.,Ambey,38.75,19.65,96.67,,,12.81,69.71,70.11,2.34,0.01,,60.13,0.21,3.02,-28.83,AMBEY,Agro Chemicals
21.,India Pesticides,166.30,29.50,1915.17,14.30,-28.88,-24.72,-34.44,63.61,0.00,1.84,4.00,36.98,0.00,23.77,22.57,IPL,Agro Chemicals
22.,Dharmaj Crop,243.80,24.34,823.98,41.40,-84.73,-43.95,-94.39,70.40,0.47,4.14,43.33,37.43,0.00,1.47,23.26,DHARMAJ,Agro Chemicals
23.,Bhaskar Agrochem,72.55,16.73,37.80,19.76,19.59,-24.63,-44.16,62.20,0.00,0.00,17.06,40.49,0.00,6.58,-4.53,524534,Agro Chemicals
24.,Daikaffil Chem,164.00,,98.40,,-28.57,,37.93,52.65,0.00,0.00,,41.64,1.40,,1.30,530825,Agro Chemicals
