S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
16.,Sangani Hospital,70.00,28.62,96.44,24.97,64.42,30.51,3.01,73.22,0.00,0.02,,13.58,0.00,,3.70,SANGANI,Healthcare
17.,Dr Agarwal's Hea,394.45,182.34,12466.17,29.46,12.77,3.40,32.33,32.45,5.21,60.62,,14.99,-5.38,2.45,-12.03,AGARWALEYE,Healthcare
18.,Soni Medicare,72.60,,30.96,37.63,85.71,-9.31,-127.66,69.79,0.00,0.00,14.45,15.03,0.00,0.58,97.39,539378,Healthcare
19.,Lotus Eye Hospit,76.95,313.77,160.03,1.83,-135.82,-5.11,-340.00,40.22,0.04,0.00,0.92,15.44,0.08,-2.31,31.24,LOTUSEYE,Healthcare
20.,Sunil Healthcare,87.90,,90.16,-9.75,-170.00,0.99,1.82,73.53,0.10,0.00,-7.00,15.48,0.00,0.81,5.36,537253,Healthcare
21.,Global Health,1189.50,61.62,31948.44,15.16,7.96,-1.29,-29.04,33.03,11.93,11.76,12.99,17.62,0.00,13.20,11.99,MEDANTA,Healthcare
22.,Indegene,604.50,35.70,14508.49,12.27,26.32,4.89,7.20,0.00,4.96,5.24,9.69,17.93,0.00,49.16,6.97,INDGN,Healthcare
23.,Chandan Healthca,176.00,26.44,430.35,,,,,49.43,6.32,3.86,,18.29,-20.50,,,CHANDAN,Healthcare
24.,Choksi Laborator,115.60,62.42,80.52,18.09,83.33,12.10,37.50,31.48,0.00,1.94,17.29,18.82,0.00,1.26,-13.97,526546,Healthcare
25.,Rainbow Child.,1380.50,58.89,14019.21,18.49,10.56,-4.64,-12.75,49.85,15.31,23.69,17.18,19.25,0.00,6.22,7.10,RAINBOW,Healthcare
26.,Jupiter Life Lin,1411.90,47.92,9257.26,12.14,3.37,1.47,-14.53,40.91,15.64,10.04,17.69,20.23,0.00,12.15,-6.31,JLHL,Healthcare
27.,Fortis Malar,78.00,374.83,146.15,-100.00,-50.68,,3500.00,62.71,0.07,0.00,,20.97,0.00,,39.60,523696,Healthcare
28.,N G Industries,162.00,4.48,54.28,1.27,1460.47,-8.68,125.93,74.50,0.00,0.00,-4.35,21.17,0.00,792.00,-3.00,530897,Healthcare
29.,Centenial Surgic,129.95,,47.41,-1.45,-374.19,-14.51,-753.85,46.89,0.00,0.00,0.54,23.33,0.00,-0.70,4.88,531380,Healthcare
30.,GPT Healthcare,159.35,26.23,1307.55,5.82,6.80,-3.27,-17.34,65.57,11.35,4.49,2.17,23.55,0.00,21.73,10.25,GPTHEALTH,Healthcare
31.,Medinova Diagno.,38.90,20.45,38.83,0.80,0.00,11.56,57.89,62.14,0.00,0.00,-3.22,23.80,0.00,7.33,8.44,526301,Healthcare
32.,Aashka Hospitals,96.25,63.44,225.22,14.44,285.71,2.40,-16.06,61.28,0.00,0.00,,23.94,0.00,2.90,3.45,543346,Healthcare
33.,Indrapr.Medical,433.30,26.26,3972.19,6.03,11.45,-7.12,-22.62,51.00,3.56,2.94,11.18,24.25,0.00,29.18,7.85,INDRAMEDCO,Healthcare
34.,Dr Lal Pathlabs,2765.00,47.44,23113.11,10.49,83.20,0.99,58.51,53.91,15.79,23.90,10.55,24.33,0.00,31.68,6.58,LALPATHLAB,Healthcare
35.,Dhanvantri Jeev.,19.00,19.97,7.79,10.68,-58.33,5.17,-11.76,19.65,0.00,0.00,11.39,24.60,0.00,,7.33,531043,Healthcare
36.,Maitreya,294.75,63.81,199.73,-1.73,-34.77,,,73.11,0.00,0.01,,26.31,0.00,6.02,-4.51,MAITREYA,Healthcare
37.,Mohini Health,63.75,11.16,116.25,-9.70,-6.59,-7.04,-13.93,64.02,0.00,0.00,,26.64,0.00,5.64,6.61,MHHL,Healthcare
38.,Tejnaksh Health.,22.19,19.86,45.08,1.59,3.70,-5.34,-13.85,73.83,0.00,0.00,5.92,27.25,0.00,7.93,-8.90,539428,Healthcare
39.,KMC Speciality,69.09,46.97,1126.85,24.92,-20.86,9.12,93.56,75.00,0.00,0.01,24.97,27.27,0.00,5.31,-0.36,524520,Healthcare
40.,3B Blackbio,1702.05,30.46,1460.83,43.69,57.46,-12.90,-9.28,41.28,1.60,2.49,40.70,27.57,-0.01,890.50,-10.86,532067,Healthcare
41.,Tarsons Products,393.00,69.97,2091.01,54.85,-47.03,-3.60,-48.88,47.31,0.30,9.53,,27.74,0.00,2.60,25.07,TARSONS,Healthcare
42.,Dolphin Medical,2.38,,3.59,0.00,46.15,-41.67,-800.00,26.44,0.00,0.00,17.65,27.88,0.00,,-5.18,526504,Healthcare
43.,Vaidya Sane,137.00,35.56,144.03,-18.20,175.42,-13.33,306.25,66.34,0.00,0.00,,27.89,0.00,58.38,19.81,MADHAVBAUG,Healthcare
44.,Yatharth Hospit.,498.35,36.91,4801.81,31.40,3.39,0.64,-1.49,61.64,13.56,4.45,30.06,28.09,0.20,20.50,22.71,YATHARTH,Healthcare
45.,Prevest Denpro,490.00,33.40,588.15,9.62,22.53,-8.18,-7.85,73.60,1.28,0.63,13.33,28.57,0.00,,3.45,543363,Healthcare
46.,Artemis Medicare,249.10,41.45,3460.82,8.27,66.67,3.49,11.65,67.17,5.04,0.31,8.05,28.83,0.00,4.85,-4.56,ARTEMISMED,Healthcare
47.,Poly Medicure,2366.50,70.84,23978.72,16.60,34.33,3.92,7.74,62.44,11.96,11.46,21.47,29.52,0.00,57.61,11.48,POLYMED,Healthcare
48.,Metropolis Healt,1627.50,57.57,8346.01,4.32,-19.97,6.98,-7.12,48.90,30.30,15.29,10.35,29.80,-0.51,8.84,-3.26,METROPOLIS,Healthcare
49.,Vijaya Diagnost.,895.95,63.95,9195.73,11.62,5.81,2.52,-1.22,53.91,23.72,19.36,24.92,29.83,0.00,7.73,-3.31,VIJAYA,Healthcare
50.,Laxmi Dental,403.70,88.75,2218.82,29.04,70.01,7.97,-18.31,41.70,12.86,34.24,,30.87,-44.91,4.06,5.44,LAXMIDENTL,Healthcare
1.,Univa Foods,11.19,,16.02,,-100.00,-100.00,,0.00,0.02,0.00,,0.00,0.00,,10.14,UNIVAFOODS,Hotels & Restaurants
2.,Polo Hotels,14.01,,31.35,-100.00,50.00,,-175.00,51.81,0.00,0.00,,4.95,0.00,,52.28,526687,Hotels & Restaurants
3.,ITC Hotels,201.75,66.13,41987.59,,,4.45,19.38,39.88,21.60,25.37,,5.41,,211.43,22.10,ITCHOTELS,Hotels & Restaurants
4.,Sayaji (Indore),1298.50,35.96,395.60,15.99,-7.16,37.57,22800.00,44.08,0.00,0.00,6.26,6.44,0.00,4.50,89.84,544080,Hotels & Restaurants
5.,Royale Manor,59.38,41.61,117.73,-17.39,-68.57,21.60,65.00,53.49,0.10,0.00,1.96,8.65,0.00,5.33,40.45,526640,Hotels & Restaurants
6.,Ventive Hospital,752.05,143.02,17563.50,461.90,170.76,30.70,335.41,88.98,5.41,2.92,,10.47,0.00,3.59,11.81,VENTIVE,Hotels & Restaurants
7.,The Byke Hospi.,95.15,81.82,497.44,23.91,3.96,27.48,118.75,42.25,0.00,2.15,8.03,11.07,0.00,1.21,39.01,BYKE,Hotels & Restaurants
8.,Asian Hotels (N),369.00,,717.83,12.65,58.66,10.75,273.79,0.00,3.70,5.26,8.23,12.04,-3.17,0.58,1.50,ASIANHOTNR,Hotels & Restaurants
9.,Aruna Hotels,11.49,,38.96,48.32,132.91,-9.18,5100.00,56.29,0.14,0.00,120.71,12.89,0.00,0.94,3.60,500016,Hotels & Restaurants
10.,Royal Orch.Hotel,372.55,20.18,1021.74,9.03,15.96,26.84,140.82,63.65,0.73,7.30,6.57,13.26,0.00,6.40,8.40,ROHLTD,Hotels & Restaurants
11.,Viceroy Hotels,117.75,11.38,795.74,-6.09,311.92,16.84,-87.78,84.11,1.48,0.00,16.93,13.42,0.00,5.34,-1.58,VHLTD,Hotels & Restaurants
12.,Lemon Tree Hotel,140.40,62.15,11123.18,22.40,76.53,24.90,127.85,22.49,19.68,20.89,24.30,13.55,-0.28,2.98,6.75,LEMONTREE,Hotels & Restaurants
13.,Chalet Hotels,895.60,137.31,19564.88,24.80,50.22,14.02,28.31,67.42,23.93,5.23,21.29,14.90,0.00,4.29,31.72,CHALET,Hotels & Restaurants
14.,Indian Hotels Co,761.50,64.13,108394.37,27.28,25.43,-4.26,-11.05,38.12,19.05,26.96,23.82,14.91,0.00,14.40,7.62,INDHOTEL,Hotels & Restaurants
15.,Reliable Ventur.,22.41,,24.67,-100.00,172.41,,191.30,54.08,0.00,0.00,10.44,15.02,0.00,,1.92,532124,Hotels & Restaurants
16.,Espire Hospi,432.40,141.81,645.25,259.42,213.48,102.91,190.63,69.25,0.00,2.08,211.25,15.44,-4.82,2.34,17.55,532016,Hotels & Restaurants
17.,Grand Continent,143.00,87.34,356.35,,,,,54.85,13.18,4.33,,17.53,-20.17,4.76,,GCHOTELS,Hotels & Restaurants
18.,Samhi Hotels,185.10,86.47,4094.50,10.43,845.64,11.38,80.59,0.00,13.97,51.94,24.33,17.95,0.00,1.36,22.48,SAMHI,Hotels & Restaurants
19.,Saj Hotels,70.50,32.95,113.68,36.54,240.00,15.87,-20.13,62.09,0.00,0.00,,18.50,0.01,96.50,-11.10,SAJHOTELS,Hotels & Restaurants
20.,U P Hotels,1700.00,29.90,918.00,17.71,26.88,102.64,1344.07,88.39,0.00,0.00,10.18,19.43,0.00,2279.00,0.06,509960,Hotels & Restaurants
21.,Robust Hotels,231.60,48.60,400.47,4.24,1.20,-3.21,10.48,65.63,0.22,0.00,17.86,21.34,0.00,1.91,13.08,RHL,Hotels & Restaurants
22.,Benares Hotels,9822.15,29.54,1276.88,38.06,38.48,26.37,18.36,62.58,0.00,0.01,15.65,21.42,0.00,239.78,-2.95,509438,Hotels & Restaurants
23.,Cindrella Hotels,60.05,720.67,21.62,24.14,100.00,32.63,100.00,61.03,0.00,0.00,10.59,21.50,0.00,1.13,4.43,526373,Hotels & Restaurants
24.,Vikram Kamats,70.00,194.07,106.74,30.23,-58.93,22.51,100.00,55.88,0.00,0.18,30.65,21.88,0.56,1.66,-3.78,539659,Hotels & Restaurants
25.,Gujarat Hotels,292.85,20.95,110.99,21.30,25.37,-7.09,2.44,53.70,0.00,0.00,20.62,21.91,0.00,,-4.94,507960,Hotels & Restaurants
26.,TajGVK Hotels,411.80,22.04,2582.06,7.70,11.50,-1.72,-15.49,74.99,3.96,1.75,10.54,22.07,0.00,21.93,3.76,TAJGVK,Hotels & Restaurants
27.,Silver Pearl,9.35,43.18,7.34,64.71,70.00,-28.21,-115.00,27.27,0.00,0.00,,24.35,0.00,,10.39,543536,Hotels & Restaurants
28.,Sayaji Hot. Pune,739.00,12.60,225.14,12.57,10.32,14.39,30.07,74.95,0.00,0.00,14.69,24.59,0.00,358.50,-10.95,544090,Hotels & Restaurants
29.,Savera Industrie,135.00,15.05,161.05,10.42,-25.19,-6.36,-57.38,62.80,0.00,0.00,10.87,25.29,0.00,17.88,0.75,512634,Hotels & Restaurants
30.,EIH,365.40,32.50,22850.80,7.95,12.43,35.85,110.12,32.85,13.64,6.08,10.53,25.50,0.00,62.25,8.50,EIHOTEL,Hotels & Restaurants
31.,HB Estate Devel.,93.00,18.50,199.58,5.96,1.33,5.79,-4.98,71.99,0.02,0.00,7.64,25.66,2.88,2.43,-6.29,532334,Hotels & Restaurants
32.,Howard Hotels,24.90,,22.68,37.86,51.55,75.42,283.75,60.83,0.00,0.00,34.86,25.67,0.00,13.25,-7.74,526761,Hotels & Restaurants
33.,Apeejay Surrend.,154.70,43.73,3300.92,11.71,17.29,25.37,20.18,68.14,11.55,3.97,7.38,25.77,0.00,11.08,-9.15,PARKHOTELS,Hotels & Restaurants
34.,Phoenix Township,228.00,62.65,391.56,37.25,426.19,86.07,1678.57,70.02,0.01,1.29,,25.97,3.43,7.43,-14.12,537839,Hotels & Restaurants
35.,Asian Hotels (E),141.31,9.14,244.35,1.15,176.00,41.28,59.93,65.63,0.22,0.00,9.00,28.61,0.00,1.62,6.08,AHLEAST,Hotels & Restaurants
36.,Mac Hotels,74.70,14.94,22.41,-49.80,126.88,-64.04,-80.00,61.19,0.00,0.00,,28.86,0.00,4.25,-0.40,541973,Hotels & Restaurants
37.,Kaushalya Infra.,915.00,1.72,31.70,0.00,191.67,0.00,-87.24,51.42,0.00,0.00,31.11,28.90,0.00,,0.43,KAUSHALYA,Hotels & Restaurants
38.,Mahindra Holiday,358.50,57.53,7242.32,-2.67,-11.43,14.80,105.96,66.74,10.07,5.36,2.97,29.01,-0.01,3.67,11.19,MHRIL,Hotels & Restaurants
39.,Oriental Hotels,142.60,64.95,2546.77,23.31,0.41,8.72,25.71,67.56,2.68,0.42,13.44,29.41,0.00,7.23,0.97,ORIENTHOT,Hotels & Restaurants
40.,Ras Resorts,43.01,20.57,17.07,12.35,138.24,36.63,176.47,74.34,0.01,0.00,5.02,30.34,0.00,2.42,-12.22,507966,Hotels & Restaurants
41.,Advani Hotels.,60.50,21.87,559.24,8.83,28.03,110.29,2228.57,50.25,0.05,0.20,3.44,30.45,0.00,803.00,2.83,ADVANIHOTR,Hotels & Restaurants
42.,Jindal Hotels,98.00,59.13,68.60,-1.80,-82.77,-11.81,-82.92,70.96,0.00,0.00,4.53,30.67,0.00,1.80,5.39,507981,Hotels & Restaurants
43.,Best Eastern Hot,13.92,,23.45,-2.41,-253.85,13.29,-433.33,75.00,0.02,0.00,7.57,31.05,0.00,-13.00,-1.37,508664,Hotels & Restaurants
44.,EIH Assoc.Hotels,374.75,26.60,2283.61,5.02,5.36,87.76,1818.75,75.00,0.00,13.70,12.28,31.23,0.00,487.55,5.61,EIHAHOTELS,Hotels & Restaurants
45.,Velan Hotels,6.60,,21.10,,-57.14,,-57.14,75.00,0.00,0.00,,31.82,0.00,,2.19,526755,Hotels & Restaurants
46.,Kamat Hotels,240.75,15.83,709.75,9.41,427.23,-16.62,-58.02,57.78,4.16,0.27,20.27,31.91,0.00,4.14,-12.90,KAMATHOTEL,Hotels & Restaurants
47.,Speciality Rest.,134.40,29.85,648.30,7.09,-31.61,-18.08,-77.35,50.10,1.59,0.39,7.80,32.46,0.00,1.70,-1.18,SPECIALITY,Hotels & Restaurants
48.,Sinclairs Hotels,92.81,30.64,475.74,2.56,-79.52,78.59,-50.00,62.66,0.00,0.01,-0.38,33.42,0.00,3.85,3.64,SINCLAIR,Hotels & Restaurants
49.,Sayaji Hotels,276.00,33.67,483.50,34.96,-23.13,51.23,590.77,74.95,0.02,0.00,14.74,35.06,0.00,3.65,5.38,523710,Hotels & Restaurants
50.,Juniper Hotels,320.20,116.51,7124.54,7.02,14347.62,16.76,256.47,77.53,10.70,7.41,7.67,35.07,0.00,2.49,36.37,JUNIPER,Hotels & Restaurants
1.,Integrity Infra.,,29.45,43.00,,,,,100.00,,,,,,,,id,Infrastructure Developers
2.,GHV Infra,547.05,255.20,788.57,,9966.67,1658.10,957.14,73.98,0.00,0.00,,0.00,70.41,17.42,207.72,505504,Infrastructure Developers
3.,ARSS Infra,52.37,45.11,119.08,-74.07,99.18,-41.92,-115.25,46.70,0.04,0.00,-20.28,0.00,0.00,,71.21,ARSSINFRA,Infrastructure Developers
4.,A B Infrabuild,106.42,,679.79,43.70,95.65,58.88,47.21,30.95,0.00,0.00,,2.37,-6.18,5.66,37.24,ABINFRA,Infrastructure Developers
5.,ITD Cem,673.00,31.01,11561.25,9.83,26.86,10.46,30.87,46.64,6.14,13.95,18.48,3.09,0.00,3.52,28.56,ITDCEM,Infrastructure Developers
6.,Active Infra.,170.00,28.11,255.26,,,,,71.36,0.00,2.72,,6.28,-28.64,,,ACTIVEINFR,Infrastructure Developers
7.,Solarium Green,284.50,31.91,593.17,,,80.59,46.88,58.34,6.16,2.87,,6.72,-20.23,6.32,26.77,544354,Infrastructure Developers
8.,BCPL Railway,109.01,37.59,182.30,97.92,-51.55,42.63,-74.32,72.86,0.00,0.00,31.04,7.21,0.00,1.46,29.97,542057,Infrastructure Developers
9.,Nirlon,531.35,22.19,4788.53,6.08,11.88,0.71,3.20,67.71,3.71,11.98,5.62,7.59,-0.02,4.06,4.39,500307,Infrastructure Developers
10.,Desco Infra.,244.00,20.65,187.29,70.57,81.00,62.66,78.77,58.12,7.30,5.09,,7.92,-21.87,11.39,,544387,Infrastructure Developers
11.,Larsen & Toubro,3618.70,33.75,497640.77,10.90,19.34,15.04,54.90,0.00,42.71,19.80,15.77,8.70,0.00,4.12,11.75,LT,Infrastructure Developers
12.,Raunaq Intl.,51.20,,17.12,123.21,154.76,-11.97,-32.35,51.69,0.07,0.00,365.63,9.73,-0.59,25.00,-5.22,537840,Infrastructure Developers
13.,Sonu Infratech,126.20,,130.60,12.49,510.53,-24.50,20.83,54.40,0.93,0.46,,10.05,-11.05,3.48,2.89,SONUINFRA,Infrastructure Developers
14.,Atal Realtech,14.90,46.72,165.39,78.04,-60.16,117.15,-52.43,32.83,0.00,0.58,202.49,12.35,0.00,1.68,13.29,ATALREAL,Infrastructure Developers
15.,Shashijit Infra.,7.35,,53.40,-20.70,-1275.00,4.58,-80.77,47.30,0.00,0.00,-20.01,12.50,0.00,-2.52,43.78,540147,Infrastructure Developers
16.,Ganesh Infra.,185.00,19.73,790.35,210.75,194.18,6.33,2.47,59.09,5.82,0.55,,13.91,0.00,26.15,37.26,GANESHIN,Infrastructure Developers
17.,Rajesh Power,1349.00,27.86,2429.20,,,142.45,115.35,73.40,4.88,0.84,,14.35,0.00,9.59,44.63,544291,Infrastructure Developers
18.,CCL Internationa,31.48,,60.42,-75.89,-421.95,447.83,-13.79,63.85,0.00,0.01,50.58,16.12,2.60,-6.88,9.93,531900,Infrastructure Developers
19.,B.R.Goyal Infra.,127.00,14.24,302.58,-9.49,47.57,,,73.12,10.38,2.57,,17.69,-26.88,3.10,24.21,544335,Infrastructure Developers
20.,Dilip Buildcon,479.15,15.13,7005.85,-8.01,20613.36,19.55,75.44,70.16,6.59,3.13,-5.18,18.57,0.00,2.02,21.55,DBL,Infrastructure Developers
21.,Univastu India,280.65,31.00,336.66,40.29,94.23,-0.94,25.43,67.46,0.90,0.00,42.77,18.73,-3.74,6.23,16.17,UNIVASTU,Infrastructure Developers
22.,ACME Solar Hold.,236.75,116.51,14325.45,5.24,181.16,34.45,632.42,83.41,7.09,4.74,,19.03,0.00,1.62,30.08,ACMESOLAR,Infrastructure Developers
23.,Denta Water,305.70,13.66,816.23,12.86,125.64,6.34,35.38,71.91,5.12,1.88,,19.06,,384.60,5.39,DENTA,Infrastructure Developers
24.,Simplex Infra,283.00,12.20,1617.14,-27.38,85.90,-14.28,-3.36,42.35,0.00,0.62,-22.81,19.60,-7.47,-4.81,6.03,SIMPLEXINF,Infrastructure Developers
25.,Power Mech Proj.,2985.00,32.19,9437.47,20.81,33.36,29.21,24.51,58.28,23.39,4.74,14.94,19.87,0.00,5.86,51.35,POWERMECH,Infrastructure Developers
26.,Afcons Infrastr.,455.95,36.61,16769.15,2.73,35.68,8.49,9.91,50.16,12.07,18.21,,20.01,0.00,2.18,6.62,AFCONS,Infrastructure Developers
27.,IL&FS Engg.,39.00,,511.37,44.46,105.67,3.07,113.89,42.25,0.37,0.88,23.90,20.33,0.00,4.66,7.62,IL&amp;FSENGG,Infrastructure Developers
28.,Niraj Cement,59.55,22.88,355.49,-5.14,-42.24,-13.27,-45.19,24.89,0.00,0.00,-13.31,20.55,0.63,163.00,21.54,NIRAJ,Infrastructure Developers
29.,Genus Prime,27.79,,41.50,20.00,-100.00,0.00,100.00,74.96,0.00,0.00,4.69,20.76,0.00,,10.97,532425,Infrastructure Developers
30.,BGR Energy Sys.,114.69,,827.62,-85.71,51.31,-19.98,-74.42,51.01,0.14,0.02,5.15,20.90,0.00,-1.35,-1.98,BGRENERGY,Infrastructure Developers
31.,NBCC,109.50,52.24,29565.00,16.65,8.94,14.98,13.82,61.75,8.93,4.20,25.62,21.69,0.00,19624.00,29.97,NBCC,Infrastructure Developers
32.,SRM Contractors,338.00,20.79,775.52,73.52,310.26,57.94,54.59,72.92,3.45,0.04,30.66,22.01,0.00,14.06,-0.85,SRM,Infrastructure Developers
33.,Navkar Urban.,3.33,180.50,373.65,48.19,7.06,,405.56,35.00,0.00,1.78,19.22,22.20,0.00,14.00,-14.66,NAVKARURB,Infrastructure Developers
34.,Reliance Infra.,270.95,650.18,10733.21,8.51,70.77,-30.67,-175.96,16.50,1.36,11.35,13.24,22.81,0.00,0.74,8.75,RELINFRA,Infrastructure Developers
35.,Welspun Enterp,503.40,19.96,6967.72,24.40,29.25,17.83,36.91,55.31,9.43,4.16,24.85,24.20,0.51,4.38,-0.02,WELENT,Infrastructure Developers
36.,Kalpataru Proj.,1086.00,36.09,18545.90,17.08,-1.00,16.28,11.17,33.52,45.02,11.60,14.77,25.06,0.00,2.23,20.68,KPIL,Infrastructure Developers
37.,GMR Urban,126.40,,9035.53,46.13,38.25,16.43,-143.46,50.55,2.29,4.99,53.73,25.32,0.01,0.74,17.60,GMRP&amp;UI,Infrastructure Developers
38.,Abhishek Integr.,85.95,50.25,51.76,1.99,48.00,29.62,164.29,67.72,0.00,0.00,,25.39,0.00,2.92,45.68,AILIMITED,Infrastructure Developers
39.,J Kumar Infra,696.60,14.02,5270.87,22.00,20.68,15.05,10.61,46.64,15.50,11.95,19.74,25.64,0.00,3.92,1.00,JKIL,Infrastructure Developers
40.,H.M. Electro,75.00,12.55,102.73,,,,,72.66,3.79,6.84,,25.74,,5.97,9.28,544349,Infrastructure Developers
41.,Transrail Light,533.60,31.15,7163.91,62.13,91.89,24.73,69.19,71.12,14.08,0.61,,25.80,0.00,3.60,-2.51,TRANSRAILL,Infrastructure Developers
42.,Artson,161.50,171.34,596.24,106.03,-54.55,187.82,-90.60,75.00,0.01,0.00,26.19,26.72,0.00,1.30,-0.66,522134,Infrastructure Developers
43.,Va Tech Wabag,1415.90,32.91,8805.54,15.13,12.14,15.81,-0.14,19.13,3.02,18.58,8.17,27.17,0.00,5.48,2.47,WABAG,Infrastructure Developers
44.,ION Exchange,559.05,37.87,8199.37,24.67,2.79,7.14,-2.07,25.76,13.88,5.50,21.31,27.24,-0.04,22.14,6.67,IONEXCHANG,Infrastructure Developers
45.,HEC Infra Proj.,119.31,34.38,129.32,61.15,-62.17,37.43,16.26,74.93,5.48,0.00,44.97,29.21,1.73,3.21,18.90,HECPROJECT,Infrastructure Developers
46.,ISGEC Heavy,1164.10,34.32,8559.57,0.28,-67.59,-8.96,-75.86,62.43,11.11,3.47,3.15,30.59,0.00,3.66,20.58,ISGEC,Infrastructure Developers
47.,Garuda Cons,106.20,27.12,988.10,8.21,-7.01,33.09,25.56,67.56,0.93,4.53,,30.90,0.00,48.78,-2.44,GARUDA,Infrastructure Developers
48.,GPT Infraproject,142.00,26.92,1794.38,9.58,42.04,-3.28,41.85,69.22,7.10,3.99,11.66,31.40,0.16,6.68,37.64,GPTINFRA,Infrastructure Developers
49.,R J Shah & Co,443.10,3.31,12.41,,-8.33,,-31.25,52.52,1.79,0.00,,31.94,0.00,4.50,-12.26,509845,Infrastructure Developers
50.,Gayatri Highways,1.20,23.39,28.76,1111.11,-331.68,235.38,-117.00,61.15,0.00,4.08,697.37,32.20,0.00,-0.06,26.80,GAYAHWS,Infrastructure Developers
1.,Intellig Sup Tru,110.00,971.83,3352.80,,,1.95,32.95,86.88,,,,0.00,-13.12,0.94,,544005,Infrastructure Investment Trusts
2.,Sustainable Ener,109.00,4.18,3531.60,,568.81,3.48,85.97,61.42,,,,0.00,0.00,1.30,,SEITINVIT,Infrastructure Investment Trusts
3.,NDR INVIT Trust,107.00,223.76,4119.50,,,5.65,38.34,40.39,,,,1.38,0.00,4.70,0.00,NDRINVIT,Infrastructure Investment Trusts
4.,IndiGrid Trust,149.50,31.32,12476.63,10.93,104.56,12.25,102.40,1.20,,,15.86,1.74,0.00,1.33,4.47,INDIGRID,Infrastructure Investment Trusts
5.,National High,133.75,102.31,25905.38,140.25,-0.69,0.57,16.35,15.32,,,102.86,3.25,-0.16,1.09,1.25,NHIT,Infrastructure Investment Trusts
6.,Shrem InvIT,114.00,6.28,6963.62,65.65,7.55,47.67,21.98,66.60,,,30.41,3.39,0.07,2.65,-0.22,SHREMINVIT,Infrastructure Investment Trusts
7.,Cube Highways,120.00,108.45,16013.38,16.53,464.47,2.71,273.95,46.84,,,,4.00,0.00,1.10,-3.23,CUBEINVIT,Infrastructure Investment Trusts
8.,Nxt-Infra Trust,101.75,41.57,,,,,,85.96,,,,7.50,0.00,1.90,-7.50,NXT-INFRA,Infrastructure Investment Trusts
9.,Indus Inf. Trust,108.92,10.02,4824.48,108.03,854.24,19.34,24.06,15.00,,,,8.38,0.00,5.33,-2.49,INDUSINVIT,Infrastructure Investment Trusts
10.,Altius Telecom,148.00,49.33,45101.52,76.36,-36.43,49.50,4.42,75.00,,,43.50,8.64,0.00,1.24,-1.33,543225,Infrastructure Investment Trusts
11.,Energy InfrTrust,84.00,6.85,5577.60,15.81,-19.80,-2.33,-67.78,,,,,10.64,,1.46,-4.55,542543,Infrastructure Investment Trusts
12.,Powergrid Infra.,83.48,8.96,7596.67,10.26,10.66,19.13,40.05,15.00,,,-5.42,16.84,0.00,22.67,3.06,PGINVIT,Infrastructure Investment Trusts
13.,Capital Infra,87.31,17.49,2404.51,,,,,42.12,,,,20.62,,2.00,-11.99,CAPINVIT,Infrastructure Investment Trusts
14.,IRB InvIT Fund,54.09,8.81,3139.91,1.08,0.26,3.56,7.82,18.55,,,,20.69,-0.01,2.31,-2.63,IRBINVIT,Infrastructure Investment Trusts
11.,Energy InfrTrust,84.00,6.85,5577.60,15.81,-19.80,-2.33,-67.78,,,,,10.64,,1.46,-4.55,542543,Infrastructure Investment Trusts
12.,Powergrid Infra.,83.48,8.96,7596.67,10.26,10.66,19.13,40.05,15.00,,,-5.42,16.84,0.00,22.67,3.06,PGINVIT,Infrastructure Investment Trusts
13.,Capital Infra,87.31,17.49,2404.51,,,,,42.12,,,,20.62,,2.00,-11.99,CAPINVIT,Infrastructure Investment Trusts
14.,IRB InvIT Fund,54.09,8.81,3139.91,1.08,0.26,3.56,7.82,18.55,,,,20.69,-0.01,2.31,-2.63,IRBINVIT,Infrastructure Investment Trusts
11.,Energy InfrTrust,84.00,6.85,5577.60,15.81,-19.80,-2.33,-67.78,,,,,10.64,,1.46,-4.55,542543,Infrastructure Investment Trusts
12.,Powergrid Infra.,83.48,8.96,7596.67,10.26,10.66,19.13,40.05,15.00,,,-5.42,16.84,0.00,22.67,3.06,PGINVIT,Infrastructure Investment Trusts
13.,Capital Infra,87.31,17.49,2404.51,,,,,42.12,,,,20.62,,2.00,-11.99,CAPINVIT,Infrastructure Investment Trusts
14.,IRB InvIT Fund,54.09,8.81,3139.91,1.08,0.26,3.56,7.82,18.55,,,,20.69,-0.01,2.31,-2.63,IRBINVIT,Infrastructure Investment Trusts
11.,Energy InfrTrust,84.00,6.85,5577.60,15.81,-19.80,-2.33,-67.78,,,,,10.64,,1.46,-4.55,542543,Infrastructure Investment Trusts
12.,Powergrid Infra.,83.48,8.96,7596.67,10.26,10.66,19.13,40.05,15.00,,,-5.42,16.84,0.00,22.67,3.06,PGINVIT,Infrastructure Investment Trusts
13.,Capital Infra,87.31,17.49,2404.51,,,,,42.12,,,,20.62,,2.00,-11.99,CAPINVIT,Infrastructure Investment Trusts
14.,IRB InvIT Fund,54.09,8.81,3139.91,1.08,0.26,3.56,7.82,18.55,,,,20.69,-0.01,2.31,-2.63,IRBINVIT,Infrastructure Investment Trusts
1.,HDFC Life Insur.,748.20,88.94,161086.59,-13.73,15.48,39.83,12.83,50.32,14.10,24.96,1.23,5.30,0.00,,19.96,HDFCLIFE,Insurance
