,Unnamed: 0,SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
1044,1044,MOTISONS,1425.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,64.16,1425.01,8.59,17.56,,,66.0,0.46,7.47,,39.17,-9.71,0.0,16.46
1045,1045,ATL,1424.0,Transport Infrastructure,Services,Services,False,29.47,1416.43,5.73,14.18,-0.12,22.33,69.92,0.75,7.61,,45.24,-2.76,0.0,28.26
1046,1046,DHAMPURSUG,1418.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,10.1,1442.27,-32.97,-31.52,-20.63,486.0,49.08,0.45,6.21,8.52,30.45,-7.86,0.0,15.22
1047,1047,KAMDHENU,1417.0,Industrial Products,Capital Goods,Industrials,False,32.19,1420.85,-15.13,-7.32,-16.22,9.43,58.74,0.19,0.58,-3.78,43.52,-2.82,0.0,23.22
1048,1048,SPAL,1415.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,17.3,1412.34,0.39,32.91,-13.79,-38.41,61.93,19.08,1.39,1.23,42.29,-8.86,0.0,14.56
1049,1049,SWELECTES,1408.0,Electrical Equipment,Capital Goods,Industrials,False,52.87,1411.51,147.91,268.07,31.42,12.45,56.37,0.0,0.04,17.54,46.02,14.34,0.0,4.41
1050,1050,VASCONEQ,1405.0,Construction,Construction,Industrials,False,14.01,1410.9,10.33,13.66,29.09,-10.16,31.62,0.14,0.11,19.08,42.27,-4.69,-0.58,11.34
1051,1051,COSMOFIRST,1401.0,Industrial Products,Capital Goods,Industrials,False,17.67,1389.14,-14.37,-75.1,-5.85,-47.29,45.04,0.76,3.45,-15.93,53.07,-20.19,0.0,16.98
1052,1052,NDTV,1399.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,False,,1401.69,-7.04,-173.97,2.51,-283.06,69.71,0.0,0.13,-19.5,34.83,-11.48,0.0,18.55
1053,1053,APTECHT,1398.0,Other Consumer Services,Consumer Services,Consumer Discretionary,False,22.23,1395.6,-14.32,-57.91,-7.94,-40.94,47.36,1.1,1.51,88.02,54.33,-8.57,-0.01,35.09
1054,1054,BIGBLOC,1398.0,Cement & Cement Products,Construction Materials,Commodities,False,50.63,1397.35,24.12,12.24,4.4,14.63,72.27,0.0,0.0,9.55,46.58,-2.95,0.0,35.67
1055,1055,SHALPAINTS,1385.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,,1381.23,13.01,-86.13,22.44,54.96,31.9,0.06,0.0,16.12,40.57,-6.73,-8.02,-4.0
1056,1056,HARIOMPIPE,1380.0,Industrial Products,Capital Goods,Industrials,False,24.14,1382.93,127.92,-3.35,-7.33,-33.63,58.28,0.0,6.68,111.52,37.86,-23.25,-2.63,17.0
1057,1057,SOLARA,1376.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,,1371.28,-36.99,-49534.88,-41.51,-1513.95,30.49,1.75,16.62,4.39,41.61,-7.01,-6.7,1.8
1058,1058,ATULAUTO,1374.0,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,False,232.15,1372.02,15.94,25.56,0.76,-37.31,42.73,0.41,0.49,23.89,39.6,-15.43,0.0,4.43
1059,1059,KSOLVES,1368.0,IT - Software,Information Technology,Information Technology,False,43.06,1370.49,38.81,44.21,8.69,7.02,58.94,0.0,1.75,47.43,44.2,-16.09,0.0,171.27
1060,1060,AHL,1367.0,Finance,Financial Services,Financial Services,False,16.65,1386.03,93.88,55.31,39.45,2.05,71.94,0.0,11.58,,32.86,-9.85,0.0,7.91
1061,1061,KUANTUM,1366.0,Paper Forest & Jute Products,Forest Materials,Commodities,False,6.35,1365.24,-14.01,-26.41,1.1,-1.17,70.3,0.0,0.53,7.12,42.08,-3.3,0.0,22.0
1062,1062,ENIL,1359.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,False,53.02,1347.87,20.15,385.42,36.75,604.12,71.15,4.44,5.77,9.27,45.49,0.28,0.0,0.58
1063,1063,IGPL,1358.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,19.34,1329.26,-5.84,-159.93,-2.73,-251.19,68.74,1.79,3.42,-3.41,41.89,-14.78,0.0,21.84
1064,1064,UNIVCABLES,1347.0,Industrial Products,Capital Goods,Industrials,False,14.47,1457.38,-21.06,-1.84,-5.63,105.67,61.89,5.25,0.34,-7.94,43.35,-19.67,0.0,12.02
1065,1065,VERANDA,1347.0,Other Consumer Services,Consumer Services,Consumer Discretionary,False,,1328.25,91.81,-2631.82,-6.64,-992.16,53.63,0.18,2.18,123.54,35.89,-15.58,0.17,-25.24
1066,1066,POKARNA,1342.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,16.26,1342.01,46.11,710.31,-17.47,-35.08,56.66,10.25,4.05,-3.33,32.35,-12.58,0.0,14.61
1067,1067,NGLFINE,1341.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,36.99,1339.45,21.5,46.14,6.76,-18.87,73.06,0.0,0.04,12.4,58.84,16.5,0.0,11.5
1068,1068,ALICON,1337.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,26.27,1325.28,12.08,7.24,6.28,15.37,55.71,9.0,0.25,4.28,37.41,-26.44,0.0,12.46
1069,1069,IGARASHI,1335.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,111.0,1340.84,4.05,16.42,-2.63,6.85,75.0,1.9,0.86,12.43,33.94,-20.34,0.0,3.99
1070,1070,SUMMITSEC,1335.0,Finance,Financial Services,Financial Services,False,20.06,1331.87,522.65,245.52,-66.47,-61.77,74.65,0.21,0.57,176.48,44.41,-23.13,0.0,0.98
1071,1071,AWHCL,1331.0,Other Utilities,Utilities,Utilities,False,19.58,1336.23,-0.17,6.67,-3.17,-50.44,46.07,6.08,12.39,3.55,44.2,-12.28,-0.16,15.49
1072,1072,XCHANGING,1329.0,IT - Software,Information Technology,Information Technology,False,107.34,1324.55,2.71,-151.16,-1.8,-125.6,75.0,0.29,0.11,1.17,42.14,-3.81,0.0,9.23
1073,1073,MADRASFERT,1321.0,Fertilizers & Agrochemicals,Chemicals,Commodities,False,63.62,1329.08,-41.7,-90.95,44.33,-1642.99,85.27,0.04,0.0,-28.96,32.84,-5.03,0.0,27.66
1074,1074,ACLGATI,1321.0,Transport Services,Services,Services,False,,1320.76,-3.82,-115.53,-3.85,596.83,52.94,1.66,0.75,1.67,34.28,-4.68,-0.02,3.43
1075,1075,SKYGOLD,1321.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,40.09,1321.11,72.17,40.85,16.28,22.83,61.47,0.11,0.17,39.48,44.91,-28.67,-12.08,17.51
1076,1076,SICALLOG,1318.0,Transport Services,Services,Services,False,,1314.44,-57.26,-21.11,-26.35,209.36,95.0,0.02,0.0,-30.81,40.95,-16.9,0.0,-4.05
1077,1077,GANESHBE,1315.0,Oil,Oil Gas & Consumable Fuels,Energy,False,22.61,1286.76,20.54,13.19,4.96,6.33,39.01,0.0,5.17,14.47,49.54,-1.23,-1.95,21.06
1078,1078,ARIHANTSUP,1313.0,Realty,Realty,Consumer Discretionary,False,27.42,1302.92,3.94,-21.75,9.48,-2.8,74.71,0.0,0.0,7.95,44.13,-9.64,0.0,14.43
1079,1079,ANDHRSUGAR,1297.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,15.79,1301.82,-19.33,-78.89,-12.91,-55.81,47.08,0.0,3.28,-15.89,33.63,-3.19,0.0,15.97
1080,1080,JAYBARMARU,1296.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,36.89,1267.07,2.15,-1.96,-10.73,-25.2,59.35,0.03,3.63,0.23,47.85,-4.53,0.0,11.09
1081,1081,MVGJL,1294.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,17.93,1283.47,-2.85,-24.07,-23.27,-14.44,74.27,1.66,8.64,,58.98,-20.02,0.0,17.35
1082,1082,VERTOZ,1294.0,Media,Media Entertainment & Publication,Consumer Discretionary,False,79.91,1282.61,155.93,40.94,46.65,-12.09,48.96,0.0,9.74,180.99,41.28,2.28,0.0,19.05
1083,1083,RAJRILTD,1293.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,390.6,1292.89,643.91,189.52,8.75,-46.61,94.13,0.33,0.0,,36.2,0.96,0.0,-6.99
1084,1084,UTTAMSUGAR,1283.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,8.01,1281.5,9.78,66.81,-14.29,178.12,73.18,0.0,0.3,8.47,43.04,-7.97,0.33,19.11
1085,1085,STEELCAS,1281.0,Industrial Products,Capital Goods,Industrials,False,16.85,1277.45,-24.57,-9.65,-11.12,-6.29,45.0,0.07,0.08,0.16,47.05,-7.47,0.0,42.15
1086,1086,SMCGLOBAL,1280.0,Capital Markets,Financial Services,Financial Services,False,8.93,1276.82,34.57,61.61,9.87,30.44,67.39,0.0,0.92,21.1,48.13,-0.81,0.02,15.19
1087,1087,MONTECARLO,1279.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,12.82,1281.86,-2.95,-9.41,137.34,484.82,73.17,1.97,1.1,8.63,41.44,-10.94,0.0,20.37
1088,1088,KITEX,1277.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,32.83,1281.12,140.59,466.91,22.52,12.47,56.66,0.0,0.84,18.99,32.48,-13.59,0.0,8.87
1089,1089,AVTNPL,1275.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,22.47,1268.66,11.09,67.74,14.03,93.69,75.0,0.02,0.02,-5.83,36.44,-2.92,0.0,25.03
1090,1090,TVTODAY,1272.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,False,22.64,1263.78,13.57,5.43,22.83,314.81,58.45,12.97,1.46,2.19,33.12,-7.21,0.0,12.97
1091,1091,DOLPHIN,1265.0,Oil,Oil Gas & Consumable Fuels,Energy,False,2073.67,1264.94,,118.22,-13.17,-87.25,74.99,1.58,12.82,,65.32,25.27,-19.99,-4.42
1092,1092,JITFINFRA,1262.0,Other Utilities,Utilities,Utilities,False,492.89,1261.79,93.71,147.86,-6.08,22.3,63.02,0.05,2.42,142.88,44.82,-14.37,0.0,9.27
