S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
94.,Shankar Lal Ram.,108.05,116.95,691.16,10.84,96.69,22.50,27.96,73.51,0.00,0.00,-6.03,40.40,-1.02,0.00,21.78,542232
95.,MANGALAM SEEDS,298.85,21.41,328.14,128.63,61.18,210.24,73.00,74.84,0.00,0.00,96.93,53.18,1.45,0.00,21.73,539275
96.,N R Agarwal Inds,456.30,5.99,776.58,-11.74,62.93,-1.78,-16.87,73.97,0.01,0.39,-20.63,54.30,-8.32,0.00,21.55,NRAIL
97.,Medico Remedies,48.75,58.04,404.55,-23.37,-35.56,-29.72,-40.33,73.34,0.00,1.29,-7.81,12.14,-2.66,0.00,21.11,MEDICO
98.,RDB Rasayans,145.30,12.36,257.33,7.20,14.24,-0.98,26.30,69.83,0.00,0.00,-8.55,40.90,-1.95,0.00,21.02,533608
99.,Jindal Poly Inve,635.00,1.87,667.39,-99.09,102.06,-0.27,85.45,74.63,0.44,0.05,-22.08,36.36,-11.65,0.00,20.96,JPOLYINVST
100.,Arrow Greentech,400.10,18.85,603.67,-19.83,34.44,-14.46,-3.56,68.60,0.00,0.00,409.88,48.64,-8.20,0.00,20.88,ARROWGREEN
101.,Uma Exports,91.80,30.64,310.37,58.01,-83.31,51.08,315.15,72.54,0.00,0.01,26.31,60.23,2.58,0.00,20.78,UMAEXPORTS
102.,Sayaji Hotels,283.20,44.65,496.11,1.03,34.09,43.08,337.82,74.95,0.02,0.00,-15.16,33.68,-3.95,0.00,20.57,523710
103.,Emkay Taps & Cut,645.00,12.35,688.30,,,10.98,24.18,74.99,0.00,0.00,,49.15,-8.86,0.00,20.54,EMKAYTOOLS
104.,Mallcom (India),1038.00,18.90,647.71,-4.24,-35.08,-11.78,-25.36,73.70,0.09,0.11,2.07,65.87,-36.92,0.00,20.52,MALLCOM
105.,Alphalogic Tech.,85.66,89.79,401.36,159.27,27.17,13.99,-12.22,73.00,0.00,0.00,171.60,54.50,-0.17,0.00,20.31,542770
106.,P.E. Analytics,250.00,30.65,262.05,,,-0.86,-5.24,70.20,0.70,4.19,,47.90,-10.93,0.00,20.31,PROPEQUITY
107.,Bhatia Communic.,21.96,24.13,274.83,20.35,1.22,16.26,0.81,73.66,0.00,0.00,33.54,38.12,-0.62,0.00,20.12,540956
108.,Foce India,725.00,47.05,354.74,,,71.25,118.14,73.63,0.00,0.00,,37.86,-5.74,0.00,20.12,FOCE
109.,RRIL,24.27,32.08,294.19,-47.29,-52.54,-16.46,5.65,69.96,0.00,0.00,-7.86,34.76,-1.22,0.03,20.03,531307
110.,Shreeji Translog,28.81,11.89,201.33,35.12,124.36,0.94,7.36,72.70,0.00,0.71,35.85,31.18,-2.01,0.00,19.98,540738
111.,RBM Infracon,640.00,,540.22,10.61,1216.22,65.53,260.74,72.45,0.00,0.00,,54.13,-7.19,0.00,19.88,RBMINFRA
112.,Apollo Finvest,950.50,37.02,354.65,-47.97,1.21,19.74,28.06,70.73,0.04,0.38,-61.96,47.14,-7.60,0.00,19.86,512437
113.,Sh. Jagdamba Pol,578.00,16.67,506.21,8.71,105.42,-17.65,5.44,72.94,4.67,0.02,-7.47,40.15,-15.19,0.00,19.74,512453
114.,DHP India,710.20,8.20,213.06,-51.34,-111.69,-22.30,-101.69,73.42,0.00,0.00,-59.53,40.08,-15.72,0.00,19.65,531306
