S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
344.,Surat Trade,10.24,29.34,227.39,20.95,58.28,-8.25,40.22,68.45,0.00,0.00,,42.97,-0.32,0.00,2.02,530185
345.,Oricon Enterpris,35.40,46.41,555.95,-7.19,62.30,29.22,-84.96,66.97,1.59,0.00,-10.92,46.15,-1.55,0.00,1.95,ORICONENT
346.,Kothari Products,120.80,20.00,360.51,-30.73,72.48,-14.99,1922.73,74.99,0.00,0.00,-34.38,37.08,-7.39,0.00,1.86,KOTHARIPRO
347.,Ravinder Heights,41.35,50.35,253.27,7.14,-341.18,-6.25,-195.35,74.81,0.00,0.04,112999.35,38.02,-2.26,0.00,1.70,RVHL
348.,PPAP Automotive,183.20,,256.48,-3.74,27.25,-17.55,-594.44,65.01,0.00,5.70,4.31,31.82,-10.40,0.00,1.58,PPAP
349.,Goodricke Group,169.35,,365.80,-6.51,-10786.96,18.68,-175.10,74.00,0.00,0.00,-8.11,35.35,-6.05,0.00,1.49,500166
350.,MIC Electronics,41.85,191.16,926.75,395.67,21280.68,24.82,609.68,74.62,0.00,0.00,142.81,49.34,-0.17,0.00,1.41,MICEL
351.,Music Broadcast,16.95,188.41,585.94,10.55,-37.16,15.26,594.59,74.05,0.00,0.04,12.51,35.52,-1.05,0.00,1.35,RADIOCITY
352.,Cineline India,120.80,,413.94,64.75,134.32,-8.72,-67.59,69.60,0.47,0.00,139.24,47.00,-4.99,2.60,1.32,CINELINE
353.,Kanoria Chem.,107.75,,470.87,-11.24,-540.16,-7.89,25.78,74.40,0.10,0.07,4.24,35.79,-4.97,0.00,1.27,KANORICHEM
354.,Uniphos Enter.,135.80,23.78,944.49,,95.52,,-100.08,73.78,0.00,15.74,,40.40,-2.78,0.00,1.24,UNIENTER
355.,Mac Charles(I),420.30,,550.59,22.34,-239.94,-46.44,-78.68,75.00,0.02,0.00,-7.54,39.33,-11.59,0.00,1.17,507836
356.,Maral Overseas,66.15,,274.59,-4.31,116.99,-7.09,146.29,74.95,0.00,0.09,-8.98,39.48,-3.83,0.00,0.95,MARALOVER
357.,Marsons,36.18,139.54,506.52,-64.48,-74.58,-63.89,-66.67,66.72,0.00,0.00,989.66,99.08,3.32,0.00,0.85,517467
358.,Deep Energy,178.20,,570.24,-91.49,-180.00,21.05,61.64,67.99,0.00,1.68,2226.91,49.18,-2.23,0.00,0.76,DEEPENR
359.,Indo National,582.10,100.83,436.58,12.82,407.14,-1.85,92.11,65.35,0.00,0.00,12.12,40.67,-23.34,0.00,0.73,NIPPOBATRY
360.,Shardul Sec.,194.35,4.42,340.11,1018.94,995.45,97.86,130.95,74.84,0.00,0.00,1778.72,43.17,-1.44,0.00,0.66,512393
361.,GKW,1412.75,47.04,843.41,71.69,114.38,-11.84,-9.59,75.00,1.26,3.10,1418.07,34.21,-45.66,0.00,0.57,GKWLIMITED
362.,Scooters India,54.95,,479.56,,-118.91,,32.74,93.87,3.88,0.00,,27.58,-3.35,0.00,0.44,505141
363.,Newtime Infra.,37.55,,639.65,19.43,-100.00,39.33,100.00,70.02,0.00,2.89,,26.35,0.15,-1.89,0.44,531959
364.,NBI Indl. Fin.,1799.25,63.24,442.04,61.67,1033.33,27.63,112.50,74.34,0.90,0.00,384.84,45.99,-11.21,0.00,0.35,NBIFIN
365.,Shree Rama News.,15.75,,232.35,-0.82,-564.86,45.93,19.41,74.76,1.57,0.06,12.72,37.56,-0.89,0.00,0.31,RAMANEWS
366.,Bombay Oxygen,17450.25,5.60,261.75,213.04,190.20,58.64,47.30,73.29,0.06,0.00,206.41,40.61,-263.85,0.00,0.23,509470
367.,Available Fin.,203.05,1.66,207.11,-6.67,79.67,0.00,212.74,66.32,0.00,0.00,-13.00,39.21,-2.89,4.51,0.05,531310
368.,Tantia Constr.,33.80,56.76,523.90,-50.09,116.90,151.24,600.00,94.97,0.00,0.00,6.97,30.74,0.27,36.38,-0.05,TCLCONS
369.,DIC India,431.85,357.11,396.39,-11.44,-144.95,-5.33,48.08,71.75,0.00,0.00,,38.21,-11.64,0.00,-0.07,DICIND
370.,Surana Telecom,15.40,,209.07,-14.74,-18.63,2.08,31.75,74.40,0.04,0.04,-9.09,39.34,-0.43,-0.55,-0.15,SURANAT&amp;P
371.,Bartronics India,16.95,,516.26,-33.90,93.67,5.06,44088.00,90.00,0.22,0.00,-17.13,13.03,-1.47,0.00,-0.19,ASMS
372.,Hexa Tradex,150.70,9.45,832.62,663.36,898.64,946.23,1783.97,92.13,0.01,0.05,57104.38,44.06,-1.05,0.00,-0.23,HEXATRADEX
373.,Ginni Filaments,32.50,,278.36,1.26,-36.83,-3.95,-28.52,69.72,0.00,0.07,-12.76,43.98,-1.62,0.00,-0.53,GINNIFILA
374.,Sundaram Brake,658.20,22.15,258.67,-2.85,210.49,-0.66,10.49,65.54,0.00,0.00,3.50,47.15,-4.72,0.00,-0.57,SUNDRMBRAK
375.,Atlantaa,24.90,,202.94,-37.81,-57.75,11.99,-99.23,71.96,0.00,0.00,-14.39,63.74,-0.39,0.03,-0.67,ATLANTAA
376.,Vaarad Ventures,13.65,,341.12,,0.00,,0.00,71.19,0.00,0.00,,45.53,-0.48,0.00,-0.88,532320
377.,Asahi Songwon,326.20,,384.50,8.82,86.14,7.15,-109.34,66.77,0.00,0.17,-12.28,54.29,0.91,0.04,-0.92,ASAHISONG
378.,GFL,71.90,,789.82,-11.90,,-9.76,-93.92,68.72,2.06,0.39,0.58,33.58,-4.34,0.00,-0.97,GFLLIMITED
379.,Waterbase,67.71,,280.50,4.63,-73.64,-14.75,-71.49,69.04,0.00,0.00,27.30,33.48,-3.36,0.00,-1.47,523660
380.,Dhunseri Tea,195.95,,205.89,26.61,-472.12,-19.23,-1054.17,68.90,2.03,0.00,16.12,38.05,-8.01,0.00,-2.10,DTIL
381.,Hindustan Media,92.15,60.13,678.88,0.76,-20.59,11.20,87.05,74.40,0.00,0.32,-2.44,40.20,-3.15,0.00,-2.59,HMVL
382.,Ashima,19.05,,365.11,35.97,1029.03,55.76,370.87,73.49,0.00,0.03,4.45,44.90,-0.55,0.00,-2.74,ASHIMASYN
383.,Bhilwara Tech,38.23,29.79,223.16,-13.37,121.95,-1.27,-89.73,71.27,0.14,0.00,-15.07,44.25,-1.18,0.00,-2.75,533108
384.,Anjani Portland,179.45,,527.13,10.56,57.76,16.37,61.15,75.00,0.09,0.04,-17.90,37.58,-8.47,0.00,-3.74,APCL
385.,H T Media,26.05,,606.31,0.58,40.02,12.41,73.42,69.51,0.05,0.25,-0.93,39.45,-1.44,0.00,-4.03,HTMEDIA
386.,DigiSpice Tech.,25.55,35.77,593.33,3.48,740.52,-2.18,1.16,73.00,0.00,0.00,-16.87,32.21,-1.75,-0.18,-4.13,DIGISPICE
387.,Zodiac Cloth. Co,109.15,,283.72,-20.75,61.53,13.21,75.11,71.40,0.00,0.00,-13.83,35.36,-4.75,0.00,-4.27,ZODIACLOTH
388.,Parsvnath Devl.,12.40,,539.62,223.40,89.83,83.10,77.98,66.30,0.01,0.16,79.75,40.46,-0.63,0.00,-4.78,PARSVNATH
389.,Hind.Urban Infra,2177.05,,314.12,-3.67,36.67,-6.77,7.10,74.94,0.31,0.00,-15.50,44.09,-24.88,0.00,-5.77,539984
390.,Kriti Industries,139.85,20.15,693.66,-5.21,74.95,62.23,217.13,66.35,0.00,0.15,27.07,49.02,-1.46,0.00,-6.07,KRITI
391.,Bharat Agri Fert,103.35,,546.26,24.21,-12.00,34.05,33.13,67.91,0.00,0.00,29.99,50.72,1.20,0.00,-6.14,531862
392.,Universus Photo,353.75,,387.24,-25.81,-147.75,-6.74,-44.07,74.55,0.00,0.00,-37.37,26.51,-10.44,0.00,-6.85,UNIVPHOTO
393.,Panacea Biotec,133.30,,816.47,30.64,18.20,5.23,73.46,73.59,0.69,0.26,19.66,33.62,-6.20,0.00,-10.26,PANACEABIO
394.,Sastasundar Ven.,298.70,,950.16,33.45,96.07,4.47,73.52,73.92,0.86,0.49,60.59,30.73,-23.62,0.00,-10.87,SASTASUNDR
395.,BGR Energy Sys.,39.60,,285.75,87.74,-1071.61,96.46,-545.31,75.00,0.26,0.01,37.59,26.28,-12.59,0.00,-11.36,BGRENERGY
396.,LGB Forge,9.85,,234.63,7.50,49.09,-2.88,-28.16,73.79,0.01,0.00,1.58,41.27,-0.76,0.00,-12.00,LGBFORGE
397.,Amal,360.15,,445.24,42.46,151.83,16.53,32.75,71.33,0.02,0.00,43.55,46.11,-5.65,0.00,-12.12,506597
398.,Kimia Bioscien.,53.77,,254.40,-9.24,43.64,8.02,20.08,74.94,0.38,0.00,-26.53,64.04,3.64,0.00,-12.45,530313
399.,Indo Thai Sec.,282.50,54.33,282.50,266.80,2559.09,9.18,24.65,72.18,0.00,0.00,155.62,34.84,-3.85,0.00,-13.16,INDOTHAI
400.,SEL Mfg. Co,72.90,,241.55,-91.72,17.53,-87.71,54.64,75.00,19.55,0.13,86.89,24.07,-2.52,0.00,-14.25,SELMC
401.,Andhra Cements,84.45,8.77,778.39,,63.10,50.30,-2062.24,95.00,0.34,0.00,,28.74,-8.02,0.00,-15.36,ACL
402.,Raghuvir Synth,115.40,118.93,447.18,134.94,128.23,10.23,67.53,74.91,0.00,3.59,278.05,36.89,-4.04,0.00,-15.47,514316
403.,Mangalam Industr,4.28,,464.61,128.95,0.00,33.85,123.73,70.15,0.00,0.00,223.23,35.62,-0.23,0.00,-15.49,537800
404.,Artson Engg.,147.50,,544.57,1.92,124.62,3.72,-84.74,75.00,0.01,0.00,-6.58,38.60,-1.94,0.00,-22.48,522134
405.,TIL,158.40,,603.74,8.65,6.16,-39.58,614.55,74.99,3.30,0.00,461.37,64.25,4.16,18.69,-35.14,TIL
406.,Lotus Chocolate,330.20,,423.98,183.27,34.62,30.34,29.17,72.07,0.01,0.01,89.69,50.59,-4.96,0.00,-40.56,523475
407.,Vintron Info.,27.74,,217.36,295.04,216.13,457.00,614.29,73.93,0.00,0.00,126.76,33.23,1.06,0.00,,517393
408.,Guj. State Fin.,27.10,,241.49,-93.10,6.14,-97.94,1.55,83.95,1.44,0.00,2044.46,51.83,-1.19,0.00,,532160
409.,Essar Shipping,20.75,,429.48,-82.12,-217.86,-39.01,-15.15,73.75,0.02,0.01,-30.44,31.65,-1.88,0.00,,ESSARSHPNG
410.,Indokem,105.00,,292.83,-2.61,-117.07,-0.20,97.00,68.71,0.20,0.00,,50.83,0.46,-2.22,,504092
411.,S T C,131.80,19.54,790.80,,60.54,,-22.38,90.00,0.62,0.00,,39.02,-8.44,0.00,,STCINDIA
412.,SAB Industries,195.60,4.54,297.51,,-1024.24,-66.62,-127.26,73.57,0.01,0.00,,45.60,11.11,0.00,,539112
413.,MKVentures Cap.,1588.30,29.75,610.46,-39.84,-45.56,-12.08,5.01,74.36,0.00,4.26,,46.43,37.04,0.00,,514238
414.,Vaidya Sane,196.00,62.82,206.06,,,-4.63,-43.81,66.34,0.00,0.00,,44.87,-3.18,0.00,,MADHAVBAUG
415.,Markolines Pavem,136.75,16.38,261.30,,,,,72.20,1.82,0.00,,47.12,-1.64,0.00,,543364
416.,Nupur Recyclers,82.95,70.12,569.37,45.25,-63.22,-0.81,-71.20,72.53,0.22,0.00,,56.98,-2.07,0.00,,NRL
417.,Kaka Industries,175.70,33.38,240.01,,,,,69.78,1.41,1.42,,44.40,-5.73,,,543939
418.,Shraddha Prime,152.50,21.86,308.06,,51950.00,249.64,372.85,75.00,0.00,0.00,,42.46,8.05,0.00,,531771
419.,Valiant Laborato,147.75,22.14,641.97,-42.74,-145.75,-31.96,-543.04,74.94,0.43,7.08,,34.04,-8.50,0.00,,VALIANTLAB
420.,Owais Metal,407.80,,741.48,,,,,73.01,,,,,7.42,-26.99,,OWAIS
