S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
14,Suratwwala Busi.,857.6,70.18,1487.22,-57.03,-63.67,-10.85,-20.15,73.39,0,0.01,6573.78,61.48,19.69,0,75.99,SBGLP
15,Phantom Digital,475.4,28.86,645.56,101.7,95,49.6,79.31,54.79,7.18,8.76,,47.81,-5.11,-9.13,75.07,PHANTOMFX
16,Platinum Industr,180.05,26.31,988.92,-6.15,-11.23,0.51,-12.94,71,5.07,6.17,,,-8.02,-25.87,74.76,PLATIND
17,Jyoti Resins,1304.65,24.18,1565.58,-7.04,35.31,-1.65,1.61,50.83,0,0.5,-0.37,45.28,-40.89,0,72.9,514448
18,Kody Technolab,1000,200.43,637.38,,,,,73.01,0,0,,50.69,-3.26,,72.87,KODYTECH
19,Sanofi India,7609.05,29.67,17523.64,3.27,13.24,-2.9,-9.53,60.4,22.51,6.31,2.94,25.53,-211.79,0,71.1,SANOFI
20,Esab India,5207.5,49.9,8014.34,12.74,4.52,-0.41,-1.2,73.72,12.98,1.14,14.56,55.49,-125.32,0,70.68,ESABINDIA
21,Coal India,431.95,9.07,266199.05,2.8,17.49,10.3,33.47,63.13,23.06,8.59,8.04,48.9,0.35,0,70.49,COALINDIA
22,Remus Pharma.,5891.45,70.9,867.81,,,18.29,76.3,69.61,0.71,2.38,,49.56,-248.82,1.24,68.75,REMUS
23,Advani Hotels.,76.7,28.02,709,11.34,6.4,87.19,1968.89,50.25,0.11,0.17,23.48,46.63,1.05,0,66.37,ADVANIHOTR
24,Amic Forging,674.5,72.19,707.44,,,,,57.74,3.11,6.99,,47.03,-8.23,-20.64,66.27,544037
25,Cons. Finvest,234.35,2.27,758.46,316.47,-0.1,5.18,-0.7,74.89,0.02,2.53,12368.24,40.36,-9.66,0,65.96,CONSOFINVT
26,R K Swamy,276.6,44.82,1396.58,,,,,66.05,11.96,8.01,,,0.42,,65.89,RKSWAMY
27,Fine Organic,4111.25,28.21,12605.08,-35.7,-11.32,-9.64,-8.86,75,11.84,3.58,-25.93,36.58,-87.83,0,65.34,FINEORG
28,Netweb Technolog,1631.1,161.95,9193.84,41.91,19.97,74.78,71.8,75.45,8.05,9.69,,56.49,24.17,0,64.41,NETWEB
29,CG Power & Indu.,535.95,95.27,81857.42,12.91,-6.61,-1.14,208.58,58.11,9.15,16.05,18.25,74.52,9.95,-0.01,61.65,CGPOWER
30,PVP Ventures,40.15,,1045.52,-67.1,38.53,14300,1746.08,61.4,0.17,0.94,-76.58,72.38,3.11,2.01,61.18,PVP
31,Guj. Themis Bio.,376.05,49.7,2731.76,37.95,32.62,-1.99,3.75,70.86,0.04,0.86,8.07,57.65,10.64,-4.13,61.14,506879
32,I R C T C,928.7,65.38,74296,21.81,21.98,12.36,1.81,62.4,11.98,7.34,25.39,50.95,-5.4,0,59.19,IRCTC
33,TCS,3910.9,31.04,1414997.85,4.04,8.54,1.49,-2.49,72.41,10.03,12.46,10.32,38.14,24.13,0.11,58.67,TCS
34,Crest Ventures,395.7,18,1125.76,94.31,32.83,-15.64,-61.77,69.11,0,4.74,68.98,40.14,-6,0,58.63,CREST
35,Castrol India,191.5,22.22,18941.69,7.49,25.15,6.86,24.44,51,15.92,10.38,6.3,43.02,1.14,0,56.72,CASTROLIND
36,Praveg,930.45,129.53,2141.19,16.1,-29.71,134.43,285.24,50.76,3.39,3.78,0.15,53.46,-6.7,-3.77,56.15,531637
37,Accelya Solution,1732.35,21.13,2586.4,11.24,22.69,-2,-1.9,74.66,0.44,0.27,17.14,46.77,-32.01,0,56.12,ACCELYA
38,Knowledge Marine,1500,34.07,1620.15,,,35.6,4.54,67.09,0,0.17,,50.2,-33.74,0,55.46,543273
39,Swaraj Engines,2250.55,19.86,2733.8,0.22,3.75,-28.12,-36.02,52.12,9.02,2.71,12.65,43.93,-27.32,0,55.22,SWARAJENG
40,Nicco Parks,145.85,33.43,682.58,-2.66,-39,5.21,-11.43,68.44,0,0,21.86,51.89,-2.07,0.01,55.11,526721
41,Easy Trip Plann.,43.75,46.54,7752.68,-1.05,14.36,7.3,-0.66,64.3,2.35,2.18,29.87,41.97,-0.83,-1.24,54.57,EASEMYTRIP
42,Shilchar Tech.,3943.3,36.17,3007.48,72.78,119.43,11,6.93,64.01,0,3.17,57.56,52.01,63.01,-1.84,53.83,531201
43,Page Industries,34449.85,71.22,38411.58,2.4,23.13,9.21,1.38,45.11,23.92,21.78,-6.34,43.53,-521.62,0,53.8,PAGEIND
44,West Coast Paper,596.8,4.58,3941.86,-15.66,-48.46,-12.46,-27.35,56.53,6.62,7.98,4.53,37.25,-17.61,0,52.89,WSTCSTPAPR
45,Jeena Sikho,801.75,60.18,1993.16,,,35.46,105.84,67.91,0,1.79,,50.85,3.01,1.71,52.44,JSLL
46,Panorama Studios,882.55,96.27,1098.49,-83.06,-93.01,-36.3,-62.52,73.24,0,0,282.91,52.56,68.27,0,52.41,539469
47,Share India Sec.,1625.2,14.88,6198.88,35.1,27.1,2.01,2.21,53.18,0.47,3.33,32.06,34.53,-63.39,0.37,52.36,SHAREINDIA
48,Gillette India,6674.8,55.62,21753.17,3.37,39.62,-4.21,12.15,75,11.22,0.64,8.05,55.83,-11.12,0,52.01,GILLETTE
49,Andhra Paper,496.65,4.24,1975.18,-16.52,-51.54,-1.13,-17.78,72.31,2.21,2.62,8.55,37.83,-14.17,0,51.95,ANDHRAPAP
50,Indian Energy Ex,135.85,36.8,12113.65,14.98,25.5,6.24,7.8,0,26.34,13.37,7.81,40.53,-2.32,0,51.79,IEX
51,Prudent Corp.,1265.45,38.7,5239.81,32.57,25.31,10.47,17.36,58.43,15.75,3.77,31.73,47.22,-16.17,0,51.45,PRUDENT
52,K.P. Energy,324.95,44.94,2167.09,-24.21,-21.15,17.27,12.04,44.8,0,0.37,10.08,37.94,-3.9,0,51.15,539686
53,Apar Inds.,6344.05,30.64,25482.98,1.88,28.06,2.23,25.13,57.77,18.62,10.98,20.27,59.63,8.28,-2.87,51.14,APARINDS
54,Hindustan Zinc,296,15.01,125069.44,-7.07,-5.52,7.63,17.33,64.92,2.97,0.69,-12.33,39.72,-3.68,0,50.39,HINDZINC
55,Axita Cotton,21.65,26.91,564.8,103.98,-33.4,-31.55,-51.92,64.77,0,0.46,147.96,33.04,-0.93,-5.2,49.06,AXITA
56,Britannia Inds.,4865,54.32,117182.43,1.42,-11.17,-3.98,-5.26,50.55,14.84,18.99,5.89,45.91,-32.24,0,48.59,BRITANNIA
57,Cams Services,3089.1,48.7,15180.8,15.16,20.53,5.46,5.12,0,23.07,47.69,9.09,57.52,4.53,-19.87,48.47,CAMS
58,Diamines & Chem.,529.05,21.24,517.62,-7.4,-62.14,15.61,-15,54.63,0.03,0,29.09,48.69,4.16,0,48.4,DIAMINESQ
59,Radiant Cash,79.25,16.27,845.66,8.11,-29.36,7.42,18.29,56.92,18.93,2.13,9.84,40.3,-2.64,0,48.27,RADIANTCMS
60,Cello World,786,62.71,16681.36,,,7.79,4.71,78.06,12.75,3.02,,45.52,-15.53,-21.94,48.13,CELLO
61,Refex Industries,145.75,13.93,1613.18,-20.74,-24.15,-13.93,-15.47,53.27,0,0.2,103.15,65.87,1.26,-0.06,48.04,REFEX
62,Anand Rathi Wea.,3635.6,72.72,15207.1,31.51,32.68,-0.25,0.48,48.21,9.16,3.01,30.62,49.65,99.82,-0.48,47.91,ANANDRATHI
63,Tata Elxsi,7665,59.89,47734.89,11.8,6.04,3.69,3.1,43.92,5.71,15.02,16.72,48.59,-52.43,0,47.74,TATAELXSI
64,Tanfac Inds.,2159.9,34.63,2154.5,-11.11,-37.97,7.88,-11.35,51.81,0.07,0,27.38,64.56,-23.17,0,47.72,506854
65,Timex Group,142.35,39.75,1437.02,11.29,77.73,-25.45,-113.55,74.93,0.01,0.77,8.29,50.89,-1.92,0,47.64,500414
66,SKM Egg Prod.,243.7,6.11,641.66,-15.85,-57.05,-12.95,-58.89,55.11,0.31,2.4,51.27,42.23,-21.68,-0.07,46.42,SKMEGGPROD
67,Focus Lighting,158.15,31.33,1048.23,-6.9,-5.93,0.82,0.94,56.09,0,0,35.62,27.07,-3.99,-0.71,46.28,FOCUS
68,PNGS Gargi FJ,539.5,69.54,519.43,83.49,167.8,64.63,88.1,73,0,0,63.73,46.38,-20.52,0,46.15,543709
69,Hawkins Cookers,6101.2,32.76,3227.53,6.05,8.96,0.31,-44.01,56.03,17.53,0.34,-1.8,22.33,-253.91,0,45.83,508486
70,Archean Chemical,638.75,19.73,7881.98,13.07,3.98,42.06,54.02,53.45,28.69,4.15,0.84,45.6,-12.71,-0.15,45.55,ACI
71,C P C L,877.7,4.21,13069.95,8.23,151.83,5.02,-69.76,67.29,1.24,14.7,-7.04,50.2,-4.37,0,45.54,CHENNPETRO
72,P & G Health Ltd,4881.8,35.75,8103.79,0,-6.16,1.65,9.91,51.82,12.66,7.6,6.19,37.8,-64.54,0,45.47,PGHL
73,BLS E-Services,315.3,140.73,2864.7,3.74,-28.2,-11.37,-12.73,68.89,3.7,11.88,,41.93,-12.77,,45.13,BLSE
74,Redtape,625,50.86,8637.62,29.31,14.11,90.19,119.25,71.76,7.3,2.74,,58.24,-2.46,0,44.79,REDTAPE
75,Clean Science,1307.3,54.62,13889.98,-17.96,-25.25,7.51,20,74.98,5.13,5.92,-13.77,36.66,-31.81,0,44.5,CLEAN
76,Vinyl Chemicals,344.25,29.21,631.26,-41.24,-5.97,3,78.61,50.41,0,0,-43.13,30.77,-17.78,0,44.41,VINYLINDIA
77,KP Green Engg.,210,86.21,1050,,,,,66.59,,,,,0,,44.25,544150
78,Angel One,2660.65,21.23,22351.64,41.46,14.17,1.06,-14.52,38.24,9.32,19.11,31.79,42.88,-150.03,-0.02,43.95,ANGELONE
79,Primo Chemicals,38.78,,939.81,-51.27,-152.66,-1.9,-13.12,31.35,1.92,1.78,-34.03,44.88,-1.4,0,43.88,506852
80,Motherson Wiring,63.95,48.3,28272.99,25.52,58.12,0.6,7.69,61.73,17.12,11.01,16.19,43.51,-1.17,-0.01,43.82,MSUMI
81,Gopal Snacks,366,40.6,4560.52,,,,,81.49,5.62,3.61,,,1.64,,43.81,GOPAL
82,Ingersoll-Rand,3552.75,49.71,11215.32,3.13,14.85,19.15,10.8,75,5.18,1.44,15.06,51.34,59.8,0,43.55,INGERRAND
83,Maan Aluminium,146.35,19.82,791.53,12.31,-46.9,-27.88,-5.58,60.71,0,0.15,51.92,50.05,-1.36,0,42.84,MAANALU
84,CRISIL,5006,55.59,36602.73,11.61,32.97,24.71,38.25,66.65,12.92,7.19,13.56,56.96,124.53,-0.01,42.38,CRISIL
85,Steelcast,631.15,16.85,1277.45,-24.57,-9.65,-11.12,-6.29,45,0.07,0.08,0.16,47.05,-7.47,0,42.15,STEELCAS
86,Marico,497.75,43.97,64412.79,-1.94,16.77,-2.18,7.22,59.39,9.63,25.69,-0.66,40.31,-7.01,-0.01,41.93,MARICO
87,Mold-Tek Technol,187.9,16.92,533.47,2.55,-23.89,4.19,-13.78,49.01,1.37,0,23.64,27.53,-14.33,0.11,41.71,MOLDTECH
88,Automotive Stamp,587.9,58.53,932.41,12.09,132.35,1.97,18.8,75,0.01,0,4.67,49.21,12.47,0,41.3,ASAL
89,Abbott India,27067.1,50.21,57517.59,8.69,25.99,-3.81,-0.63,74.99,8.73,0.18,9.42,41.01,108.71,0,41.13,ABBOTINDIA
90,NINtec Systems,493.95,81.06,917.56,,,18.03,3.95,47.26,0,0.01,,48.82,-11.62,0.02,40.52,NINSYS
91,Infosys,1508.85,25.68,626280.51,1.31,-7.29,-0.44,-1.64,14.78,35.51,33.7,8.44,28,-15.22,-0.11,40.48,INFY
92,Permanent Magnet,1074.7,33.62,924.24,-4.34,-49.83,-5.92,-37.87,58.01,0.1,0.42,16.01,52.85,-64.52,0,40.14,504132
93,Tata Tele. Mah.,78.55,,15355.98,5.01,-9.97,3.21,0.82,74.36,0.05,2.26,4.55,40.51,-2.89,0,39.83,TTML
94,Vedant Fashions,933,55.64,22659.63,7.48,4.9,117.34,223.71,74.98,13.73,7.75,3.7,42.24,-29.6,-0.01,39.17,MANYAVAR
95,Sonata Software,742.55,48.29,20822.94,10.29,-37.8,30.37,-137.17,28.17,17.6,14.47,19.74,40.89,-10.41,0,39.12,SONATSOFTW
96,ITC,428.6,26.14,534955.81,1.78,6.65,1.38,8.9,0,41.98,43.26,1.32,58.68,-2.95,0,39.01,ITC
97,Expleo Solutions,1260.35,19.17,1956.03,4.17,-38.51,6.89,65.89,71.05,3.26,0.03,8.65,38.64,-23.46,0,38.83,EXPLEOSOL
98,Ashoka Buildcon,163.9,13.56,4601.05,35.86,-21.16,23.34,-7.7,54.48,19.72,4.51,21.59,48,-3.19,0,38.64,ASHOKA
99,Balaxi Pharma,508.7,16.05,525.7,-29.79,46.17,11.09,-5.82,71.22,0.02,17.45,-22.58,46.18,-7.12,0,38.52,BALAXI
100,Coromandel Inter,1065.45,18.21,31371.43,-34.24,-56.7,-21.81,-69.77,57.33,20.22,7.71,-10.36,43.44,-8.39,0,38.28,COROMANDEL
101,Mazagon Dock,1898.45,25.37,38289.84,30.1,75.4,29.26,89.03,84.83,0.43,3.32,21.38,38.29,-65.56,0,38.25,MAZDOCK
102,Cigniti Tech.,1280.45,18.62,3495.64,9.35,3.2,3.58,4.75,32.77,0.07,6.04,14.2,71.09,40.03,-0.69,38.15,CIGNITITEC
103,VST Industries,3596.25,19.69,5552.61,4.86,-31.98,3.73,-29.27,32.16,17.52,1.39,4.32,46.34,4.51,0,38.05,VSTIND
104,TGV Sraac,86.29,13.21,924.08,-32.02,-82.61,11.62,-18.23,63.18,0.02,0,-23.87,33.32,-3.42,0,38.01,507753
105,MSTC,859.8,25.99,6052.99,9.53,6.23,-1.49,-9.7,64.75,1.35,3.33,4.08,46.53,-19.57,0,37.92,MSTCLTD
106,Tanla Platforms,850.1,21.23,11430.43,15.29,20.27,-0.6,-1.7,44.15,0.9,15.46,11.91,37.39,-41.17,-0.01,37.91,TANLA
107,Sharda Motor,1263.65,13.93,3757.04,0.45,62.93,-9.64,-4.97,73.2,0.3,1.79,6.43,43.45,-42.38,0,37.88,SHARDAMOTR
108,M B Agro Prod.,241.95,44.41,2120.13,-14.85,-96.64,-12.45,-91.29,74.54,0,0,10.29,40.8,-3.11,0.28,37.76,MBAPL
109,Tiger Logistics,48,45.27,507.48,-37.28,-55.5,-3.04,14.29,57.1,0,7.36,-58.47,22.16,-6.06,-4.71,37.73,536264
110,LTIMindtree,5005,32.25,148229.77,4.6,16.83,1.25,0.6,68.64,12.85,8.65,31.77,32.58,-101.89,-0.02,37.72,LTIM
111,Shivalik Bimetal,536.35,41.34,3089.6,4.31,-12.77,-0.2,-19.11,51.09,1.82,3.61,12.58,48.64,-7.84,0,37.66,SBCL
112,Safari Inds.,1807.85,50.38,8599.44,28.3,24.48,4.94,7.95,45.73,20.2,13.06,36.58,43.46,-63.23,-1.24,37.49,SAFARI
113,Supreme Petroch.,620,31.11,11658.56,0.62,-24.69,-7.04,-13.31,64.24,2.62,2.46,-5.23,43.14,-5.19,0,37.43,SPLPETRO
114,High Energy Bat.,590.1,27.22,528.96,-37.56,-54.99,-4.85,-0.31,40.89,6,0,13.71,56.62,-5.75,0,37.34,504176
115,Gandhar Oil Ref.,214.5,11.04,2099.31,0.42,9.08,10.15,5.93,64.63,6.61,2.53,,34.42,-8.25,0,37.34,GANDHAR
116,TAAL Enterprises,2684.35,24.66,836.54,7.59,-30.43,-8.11,-29.86,50.98,0.04,2.21,25.52,47.26,-55.69,-0.12,37.19,539956
117,Inox India,1152.3,69.02,10458.68,19.13,19.44,13.09,5.06,75,6.48,4.65,,52.45,27.11,,37.15,INOXINDIA
118,Avantel,102.4,47.08,2491.08,52.79,124.77,9.04,1.56,40.1,0.01,0,73.08,42.34,-2.99,0,37.08,532406
119,ICE Make Refrig.,494.2,38.04,779.83,23.62,-54.4,7.21,-55.01,74.49,0,0.02,29.04,51.61,-23.08,0,36.94,ICEMAKE
120,Seshasayee Paper,312.15,5.94,1968.67,-14.81,-38.17,30.66,-5.77,42.78,0.02,12.98,-3.34,41.99,-6.04,0,36.53,SESHAPAPER
121,Dynacons Sys.,800.45,19.6,1016.02,31.86,72.75,3.13,3.9,61.1,0,0,32.92,50.18,12.91,0,36.51,DSSL
122,NIIT Learning,490,31.7,6632.25,7.71,3.67,2.46,21.05,34.73,16.37,17.75,,47.85,3.43,-0.11,36.5,NIITMTS
123,Balaji Amines,2106.7,37.05,6825.92,-34.57,-21.1,0.74,53.34,53.7,1.43,4.58,-36.02,43.62,-50.17,0,36.49,BALAMINES
124,eClerx Services,2410.45,22.96,11817.32,9.62,6.7,4.29,2.17,53.61,22.91,11.81,12.08,47.23,-31.16,0,36.47,ECLERX
125,Fineotex Chem,382.95,36.72,4241.75,26.75,47.49,-4.69,4.54,65.03,3.69,0.82,11.55,51.64,-5.16,0,36.46,FCL
126,Glaxosmi. Pharma,1963.05,51.85,33255.25,0.37,3.02,-15.85,-78.98,75,8.64,2.93,1.21,38.02,-57.47,0,36.41,GLAXO
127,Likhitha Infra.,247.4,15.36,975.99,10.39,3.62,0.64,4.02,70.03,0,0.09,21.03,40.36,-4.68,0,36.15,LIKHITHA
128,Gandhi Spl. Tube,742.55,17.13,902.35,12.28,38.18,-6.16,-0.3,73.53,0,1.49,2.06,46.19,-17.31,0,35.97,GANDHITUBE
129,BIGBLOC Const.,197.4,50.63,1397.35,24.12,12.24,4.4,14.63,72.27,0,0,9.55,46.58,-2.95,0,35.67,BIGBLOC
130,Cosmic CRF,900,97.19,622.98,,,,,61.24,6.54,0,,50.85,15.14,-11.29,35.66,543928
131,GHCL,451.5,5.91,4321.94,-27.62,-60.7,-1,-30.1,19.03,8.6,24.66,-16.1,32.01,-21.13,-0.03,35.53,GHCL
132,Blue Jet Health,369.7,40.22,6413.02,-1.3,4.02,-8.05,-32.92,86,3.7,2.93,,61.23,0.19,,35.41,BLUEJET
133,Oracle Fin.Serv.,8378.95,33.96,72615.44,25.83,69.39,26.25,77.46,72.78,9.48,6.89,13.36,62.06,355.32,-0.03,35.11,OFSS
134,Aptech,240.65,22.23,1395.6,-14.32,-57.91,-7.94,-40.94,47.36,1.1,1.51,88.02,54.33,-8.57,-0.01,35.09,APTECHT
135,Panama Petrochem,323.35,10.57,1956.06,-10.63,-17.53,-10.89,-11.85,67.31,0.01,8.31,-5.2,45.27,-3.02,-1.94,34.93,PANAMAPET
136,Solar Industries,9322,104.53,84354.83,-21.12,-0.61,6.06,6.2,73.15,15.05,5.9,7.43,73.06,393.97,0,34.72,SOLARINDS
137,Akzo Nobel,2462.5,27.13,11214.3,4.65,16.84,7.99,20.81,74.76,8.56,3.2,6.02,45.72,-75.25,0,34.71,AKZOINDIA
138,Imagica. Enter.,76.75,10.23,3698.58,-6.18,8.44,90.31,107.53,70.85,4.53,0.08,16.41,50.1,-0.24,0,34.6,IMAGICAA
139,JTL Industries,201.3,28.68,3444.52,65.26,47.22,13,8.09,56,0.11,4.62,39.44,37.73,-15.52,0.22,34.58,JTLIND
140,Aeroflex,127.75,50.9,1652.07,10.97,75.92,-13.01,-21.63,66.99,5.83,0.36,,38.11,-6.35,0,34.56,AEROFLEX
141,Network People,1093.95,103.3,2120.73,207.14,260.77,12.27,30.6,67.55,0,0.2,,44.56,-2.07,0,34.51,NPST
142,SKF India,4264,42.18,21080.35,1.4,13.49,-2.92,46.52,52.58,28.98,6.61,5.07,41.05,-82.01,0,34.47,SKFINDIA
143,Best Agrolife,506.25,7.03,1197.01,-4.04,-121.59,-61.23,-106.97,50.1,2.53,8.86,13.37,24.26,-40.2,0,34.42,539660
144,Asian Paints,2841.5,49.96,272556.05,5.4,34.96,7.37,19.7,52.62,10.52,17.32,5.97,41.67,-41.53,-0.01,34.37,ASIANPAINT
145,Doms Industries,1500.75,95.14,9107.64,22.35,46.32,-2.82,3.27,74.96,15.14,6.13,,55.36,-12.78,-25.04,34.36,DOMS
146,CFF Fluid,436.6,61.43,850.24,,,87.54,170.05,73.3,0,0.07,,45.43,-14.58,0.01,34.34,543920
147,Indrapr.Medical,176.35,14.35,1616.6,10.66,40.86,-3.32,-10.38,51,6.36,0.95,16.06,49.33,-4.18,0,34.33,INDRAMEDCO
148,Benares Hotels,8715.15,35.37,1132.97,18.93,36.31,29.77,65.2,62.57,0,0,39.96,42.32,-113.2,0,34.23,509438
149,Beta Drugs Ltd,1245,34.44,1196.92,,,23.14,33.53,66.73,0.02,0.32,,49.09,-34.35,0,33.94,BETA
150,Vishnu Prakash R,158.3,21.11,1973.11,-13.81,-23.45,-18.35,-18.26,67.81,4.96,3.06,,38.99,-10.21,0,33.92,VPRPL
151,D-Link India,282.6,11.68,1003.37,5.05,-16.96,-4.66,-3.72,51.02,0.11,0.35,6.71,45.26,-7.23,0,33.78,DLINKINDIA
152,ION Exchange,490.25,35.24,7190.33,8.15,-0.94,3.92,11.55,26.46,11.95,5.2,21.02,54.29,-14.5,-0.3,33.77,IONEXCHANG
153,MPS,1611.55,26.09,2756.69,11.67,37.52,4.5,32.29,68.34,0.56,3.71,12.86,55.92,2.24,0,33.72,MPSLTD
154,Bayer Crop Sci.,5079,28.52,22826.09,-8,53.3,-40.95,-58.23,71.43,12.7,3.53,3.83,32.66,-182.08,0,33.66,BAYERCROP
155,Kotyark Indust.,1050.1,59.13,983.93,-25.59,29.48,90.31,28.26,64.54,0.6,0.94,,41.7,-35.03,-4.63,33.63,KOTYARK
156,Flair Writing,260.7,24.62,2747.66,-4.02,-35.01,-11.94,-35.71,78.59,9.57,1.38,,35.38,-11.86,0,33.56,FLAIR
157,Zaggle Prepaid,293.6,110.89,3596.09,35.12,921.48,8.29,100.53,44.07,6.56,13.03,,46.23,11.48,0,33.48,ZAGGLE
158,RPG LifeScience.,1518.9,29.63,2512.11,17.69,38.46,0.08,2.32,72.81,1.77,0.56,15.16,50.18,-20.7,0,33.18,RPGLIFE
159,Nitta Gelatin,841.55,9,764.13,-3.78,-20.59,-3.94,-6.81,74.48,0.12,0,-2.29,35.37,-29.1,0,33.13,506532
160,Aditya AMC,455.8,18.56,13131.14,8.73,25.89,1.93,17.55,86.47,5.21,1.74,2.96,34.16,-2.04,-0.01,33.13,ABSLAMC
161,Last Mile Enter.,825.4,162.47,1394,-100,98.18,,-155.56,60.77,0,1.01,,92.13,62.61,0,32.81,526961
162,Meson Valves Ind,646.25,145.26,656.59,,,,,32.83,2.48,1.9,,52.1,-11.55,,32.8,543982
163,EMS,395.9,20.46,2198.46,31.83,26.5,-5.21,-17.48,69.7,1.45,4.09,,37.36,-28.16,0,32.74,EMSLIMITED
164,L&T Technology,5369.85,43.59,56786.51,12.28,13.27,1.48,6.62,73.75,11.33,5.63,16.61,51.92,-26.32,-0.02,32.65,LTTS
165,TCI Express,1015.45,28.1,3893.49,-0.81,0.53,-2.54,-9.53,69.62,8.35,2.93,4.25,24.28,-62.17,0,32.63,TCIEXP
166,Suven Pharma,650.05,44.62,16547.99,-37.86,-56.6,-4.86,-41.24,60,15.94,10.14,-9.24,50.24,-8.75,0,32.47,SUVENPHAR
167,DDev Plastiks,175.2,10.76,1812.91,-15.45,75.9,-13.82,-5.2,74.86,0.25,0.12,3.22,38.54,-7.81,0.02,32.38,543547
168,HDFC AMC,3773.4,45.23,80556.05,19.97,32.57,4.39,11.92,52.55,19.5,17.99,13.76,53.83,23.22,0,32.31,HDFCAMC
169,Shanthi Gears,553.85,55.88,4248.91,9.5,-0.63,-7.3,-17.08,70.47,0.58,3.44,19.07,63.99,-7.69,0,32.14,SHANTIGEAR
170,Menon Bearings,116.9,23.07,655.11,-0.54,-27.87,-1.5,-11.27,70.18,0,0.54,-2.75,38.38,-5.49,0,32.1,MENONBE
171,Goa Carbon,747.15,8.4,683.64,-34.63,35.17,21.48,19.44,59.72,0.01,0,14.77,47.07,-16.02,0,32.08,GOACARBON
172,Epigral,1059.55,22.47,4402.45,-12.33,-36.13,-1.39,29.32,71.38,0.05,1.17,-6.09,47.75,-8.97,0,32.07,EPIGRAL
173,Man Infra,209,24.86,7759.13,-47.08,-2.05,12.3,32.85,67.19,2.09,3.5,65.92,52.73,-6.62,0.04,31.99,MANINFRA
174,D P Wires,458.85,17.12,711.24,-26.79,-32.12,-7.72,-30.24,74.78,0,0,39.11,42.09,-16.24,0.03,31.98,DPWIRES
175,Brand Concepts,757.35,70.63,841.25,44.42,5.88,-4.96,-17.52,48.82,2.48,0,59.28,51.38,-14.49,-2.42,31.95,BCONCEPTS
176,EKI Energy,323,,889.02,-89.32,-165.99,-46.4,49.46,73.4,0.02,0.14,-82.29,24.36,-15.37,-0.01,31.92,543284
177,Stylam Industrie,1536.85,22.14,2604.66,-8.29,30.45,-8.28,-1.32,54.61,12.02,3.8,4.04,45.95,-24.32,0,31.85,STYLAMIND
178,Rolex Rings,1847.05,28.13,5030.13,-11.07,-29.87,-14.8,-21.17,55.25,31.68,6.28,4.02,31.36,-89,0,31.78,ROLEXRINGS
179,Uniparts India,548.65,17.52,2476.26,-21.73,-53.92,-11.74,-21.36,65.66,9.7,2.3,-14.47,48.77,-6.02,0,31.71,UNIPARTS
