SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
HMAAGRO,2571,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,24.28,2573.96,62.88,56.36,4.29,772.11,83.61,0,7.4,,27.85,-5.03,0,23.96
SOMANYCERA,2566,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,28.23,2575.85,-1.65,85.94,-6.57,-20.76,55.02,23.33,1.43,5.02,46.95,-18.13,0.24,9.37
SEPC,2559,Construction,Construction,Industrials,FALSE,,,,,,,,,,,,,,
AJMERA,2548,Realty,Realty,Consumer Discretionary,FALSE,28.81,2545.51,161.5,181.48,42.27,30.61,69.74,1.77,0.02,69.02,55.53,11.73,0,7.48
APOLLOPIPE,2542,Industrial Products,Capital Goods,Industrials,FALSE,50.27,2561.5,-6.39,86.83,-11.18,-29.72,50.8,14.7,3.23,9.24,41.98,-15.87,0,8.91
REPCOHOME,2539,Finance,Financial Services,Financial Services,FALSE,6.87,2534.36,18.44,23.13,1.88,1.37,37.13,19.11,13.79,16.97,45.7,-10.52,0,9.04
UNITECH,2538,Realty,Realty,Consumer Discretionary,FALSE,,,,,,,,,,,,,,
DHANI,2537,Finance,Financial Services,Financial Services,FALSE,,2554.69,-41.02,3.31,-11.64,14.75,31.25,1.45,14.27,-46.77,60.07,-0.65,0,-5.05
CONFIPET,2535,Gas,Oil Gas & Consumable Fuels,Energy,FALSE,22.41,2561.44,-23.01,-1.96,-13.19,-10.62,56.15,1.15,1.94,69.57,39.34,-1.92,-5.16,13.07
PARAS,2535,Aerospace & Defense,Capital Goods,Industrials,FALSE,77.34,2533.64,4.44,-27.69,5,-24.75,58.94,2.73,0.49,4.27,37.58,-23.81,0,13.15
POLYPLEX,2534,Industrial Products,Capital Goods,Industrials,FALSE,68.71,2543.57,-19.74,-88.1,-4.87,-64.62,26.7,2.27,8.29,-19.7,38.69,-40.47,-24.28,11.62
DREAMFOLKS,2534,Transport Infrastructure,Services,Services,FALSE,32.53,2499.9,49.54,6.95,8,11.91,66.02,9.23,5.22,77.23,40.13,-9.43,0,76.91
VINDHYATEL,2526,Telecom - Services,Telecommunication,Telecommunication,FALSE,9.15,2523.58,69.79,143.14,25.73,47.08,43.54,9.73,1.6,157.12,36.94,-98.27,0,8.11
GIPCL,2523,Power,Power,Utilities,FALSE,12.85,2536.46,-6.09,36.72,26.19,64.5,55.43,5.96,3.86,17.49,40.48,-7.75,-0.26,8.06
RPGLIFE,2521,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,29.63,2512.11,17.69,38.46,0.08,2.32,72.81,1.77,0.56,15.16,50.18,-20.7,0,33.18
STYRENIX,2510,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,15.18,2523.2,-13.01,15.7,-18.54,-38.07,62.73,5.01,2.53,-4.98,53.51,-38.21,0,29.95
TIRUMALCHM,2509,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,,2513.63,-3.21,-376.75,-9.25,-282.83,41.98,0.17,1.88,-12.04,55.46,-0.97,-0.19,10.86
IPL,2499,Fertilizers & Agrochemicals,Chemicals,Commodities,FALSE,27.74,2504.81,-30.77,-30.32,-25.39,23.1,63.61,1.59,1.63,-10.37,19.29,-34.37,0,27.8
MARATHON,2495,Realty,Realty,Consumer Discretionary,FALSE,17.55,2507.14,-24.43,-36.32,63.07,47.13,73.68,0.07,1.56,22.7,56.42,14.09,0.23,16.82
TIDEWATER,2478,Petroleum Products,Oil Gas & Consumable Fuels,Energy,FALSE,18.57,2495.47,-0.12,29.33,4.7,-4.71,62.27,1.27,1.38,4.78,38.85,-34.37,4.99,19.78
UNIPARTS,2477,Industrial Manufacturing,Capital Goods,Industrials,FALSE,17.52,2476.26,-21.73,-53.92,-11.74,-21.36,65.66,9.7,2.3,-14.47,48.77,-6.02,0,31.71
SHAKTIPUMP,2472,Industrial Products,Capital Goods,Industrials,FALSE,45.43,2466.62,57.73,301.69,224.4,671.16,56.22,0.31,0.49,8.74,53.04,-10.69,0,10.36
XPROINDIA,2457,Industrial Products,Capital Goods,Industrials,FALSE,68.8,2457.41,3.31,65.07,-12.58,12.66,42.46,3.32,14.98,-12.19,47.4,-17.53,-2.8,28.35
PGIL,2445,Textiles & Apparels,Textiles,Consumer Discretionary,FALSE,15.76,2461.15,-1.82,-3.31,-26.71,-13.19,66.23,0.43,5.25,0.28,38.27,-9.73,-0.35,19.24
DIVGIITTS,2426,Auto Components,Automobile and Auto Components,Consumer Discretionary,FALSE,54.53,2397.55,-1.47,-22.24,-8.29,-12.59,60.48,25.08,3.57,3.97,44.94,-30.82,-0.01,15.48
INDIAGLYCO,2424,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,14.25,2431.13,63.31,187.06,16.73,9.52,61.01,0.11,1.57,19.08,38.87,-22.42,0,8.39
EVEREADY,2423,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,54.62,2420.97,-7.72,54.6,-16.44,-66.94,43.21,2.55,0.46,3.77,44.3,-4.29,0,12.91
PARAGMILK,2422,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,23.45,2418.55,8.83,269.01,0.34,35.65,41.63,8.36,8.83,20.14,37.14,-9,0,8.72
FINOPB,2413,Banks,Financial Services,Financial Services,FALSE,29.08,2416.96,54.93,19.37,7.17,16.8,75,5.58,5.09,80.28,44.09,-4.63,0,7.17
DEN,2412,Entertainment,Media Entertainment & Publication,Consumer Discretionary,FALSE,9.22,2409.98,-1.43,-3.55,-1.33,4.93,74.9,0.17,0.98,-3.9,41.51,-2.17,0,2.97
PITTIENG,2393,Industrial Manufacturing,Capital Goods,Industrials,FALSE,32.02,2391.58,23.4,9.81,1.15,-40.93,59.28,6.56,0.22,1.28,53.02,11.77,0,18.19
ARTEMISMED,2376,Healthcare Services,Healthcare,Healthcare,FALSE,51.79,2362.61,15.91,6.67,-3.07,-16.41,68.03,1.96,0.11,21.23,56.91,-4.84,0,11.45
GANECOS,2376,Textiles & Apparels,Textiles,Consumer Discretionary,FALSE,69.35,2382.74,4.5,-39.7,2.29,354.64,36.44,22.28,9.45,-3.23,39.19,-24.43,-5.87,10.64
YATRA,2371,Leisure Services,Consumer Services,Consumer Discretionary,FALSE,,2397.68,23.06,118.89,17.22,106.19,64.46,24.39,4.52,,46.11,-5.52,0,13.81
INDOSTAR,2369,Finance,Financial Services,Financial Services,FALSE,16.62,2601.84,8.88,-53.98,-2.24,-31.89,75,1.84,1.33,-1.07,44.13,1.02,0,9.15
PFS,2364,Finance,Financial Services,Financial Services,FALSE,12.89,2363.6,5.15,39.22,7.4,-15.73,64.99,2.31,2.66,-5.13,38.64,-3.24,0,7.84
BAJEL,2361,Power,Power,Utilities,FALSE,,2361.01,57.18,340,37.57,175.68,62.85,12.03,10.46,,52,-3.32,0,
AXISCADES,2358,IT - Services,Information Technology,Information Technology,FALSE,59.12,2366.02,7.67,-31.71,-8.01,-32.56,60.51,7.64,0.22,17.88,36.87,-39.82,-5.23,22.85
PSPPROJECT,2355,Construction,Construction,Industrials,FALSE,15.24,2361.06,40.06,-7.88,14.74,-17.48,66.22,5.01,3.3,46.19,47.53,-27.25,0,24.75
DIAMONDYD,2344,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,113.5,2317.63,6.96,813.2,-9.34,311.62,64.31,11.11,5.4,19.4,35.95,-53.83,-5.45,1.15
SASKEN,2340,IT - Services,Information Technology,Information Technology,FALSE,29.71,2335.42,-21.45,-43.2,-5.92,-1.83,43.44,1.09,18.52,-11.07,48.01,-13.98,0.06,17.08
SATIN,2336,Finance,Financial Services,Financial Services,FALSE,5.74,2331.49,43.23,92.59,10.78,5.89,36.06,8.27,9.58,37.88,42.94,-12.47,-3.92,8.41
HUHTAMAKI,2334,Industrial Products,Capital Goods,Industrials,FALSE,21.82,2332.49,-12.85,107.36,-8.87,914.63,67.73,1.32,0.89,-14.29,40.62,-5.85,0,12.52
VIDHIING,2327,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,66.87,2331.68,-27.13,11.2,-21.43,-6.05,64.27,0,0.07,-31.63,61.55,5.33,0,17.57
CAPACITE,2324,Construction,Construction,Industrials,FALSE,25.9,2332.96,8.4,29.23,14.01,49.02,34.68,9.74,10.08,6.59,59.09,-4.23,-0.99,16.9
MUFIN,2310,Finance,Financial Services,Financial Services,FALSE,157.17,2305.7,154.97,98.69,28.63,13.47,55.07,13.23,0.01,182.68,33.51,-15.09,-3.11,7
OPTIEMUS,2304,Telecom - Equipment & Accessories,Telecommunication,Telecommunication,FALSE,46.2,2306.98,47.45,42.64,75.59,232.04,74.89,0.05,0.01,40.9,36.97,-7.7,0,13.49
IKIO,2291,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,35.15,2281.71,1.63,6.22,-0.87,3.95,72.46,7.1,1.51,,49.21,-4.72,0,30.59
SANGHIIND,2286,Cement & Cement Products,Construction Materials,Commodities,FALSE,,2284.89,41.45,0.85,4.67,-419.32,72.59,0.62,1.02,-16.7,33.01,-6.5,-0.13,-2.76
IOLCP,2266,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,13.16,2269.26,-0.59,-3.81,-4.57,-38.53,48.19,0.36,2.18,0.64,46.26,-12.46,0,13.66
VENKEYS,2257,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,31.87,2256.02,-7.97,-148.03,4.45,-123.29,56.11,0.12,1.07,-11.79,31.05,-58.28,0,7.76
HONDAPOWER,2252,Industrial Manufacturing,Capital Goods,Industrials,FALSE,24.19,2248.65,-22.27,-11.36,-7.45,-9.2,66.67,14.82,1.59,-12.83,37.88,-34.79,0,18.83
JAGRAN,2242,Media,Media Entertainment & Publication,Consumer Discretionary,FALSE,12.1,2204.84,4.67,40.47,11.39,76.97,69,10.74,3.54,3.52,44.09,-1.66,0,8.23
KINGFA,2234,Industrial Products,Capital Goods,Industrials,FALSE,17.76,2230.75,15.7,20.27,12.25,-17.8,74.99,0,6.36,8.82,48.74,-82.11,0,24.72
