,Open,High,Low,Close,Adj Close,Volume,Year,Outstanding_Shares
47,850.0999755859375,854.0,830.0999755859375,832.7000122070312,728.559814453125,285543,2014,50.998
48,824.7000122070312,843.0,818.0499877929688,825.0999755859375,721.9102783203125,331845,2014,50.998
49,822.0,831.0,804.4000244140625,806.9500122070312,706.0300903320312,368297,2014,50.998
50,807.3499755859375,819.9500122070312,798.25,802.8499755859375,702.44287109375,305592,2014,50.998
51,814.4000244140625,817.9500122070312,765.0999755859375,774.7000122070312,677.8134765625,511496,2014,50.998
52,786.4000244140625,797.0499877929688,773.0,787.2999877929688,688.8375854492188,626206,2014,50.998
53,793.0,828.0,790.0,815.75,713.7296752929688,685396,2014,50.998
54,819.9500122070312,821.0,793.1500244140625,799.5499877929688,699.5557250976562,524640,2014,50.998
55,800.0,807.9000244140625,790.25,793.8499755859375,694.5684814453125,277041,2014,50.998
56,785.9000244140625,804.7999877929688,780.2999877929688,781.9500122070312,684.1567993164062,229884,2014,50.998
57,775.0999755859375,783.4500122070312,755.0999755859375,759.2000122070312,664.251953125,268826,2014,50.998
58,757.0,777.0,757.0,768.8499755859375,672.695068359375,211565,2014,50.998
59,765.9000244140625,790.7999877929688,752.0,770.2000122070312,673.8762817382812,835031,2014,50.998
