Date,Year,Adj Close,Volume,Symbol,Outstanding_Shares
2020-03-17,2020,991.3,346326,MCX.NS,50.998
2020-03-18,2020,981.0,360547,MCX.NS,50.998
2020-03-19,2020,883.7,473706,MCX.NS,50.998
2020-03-20,2020,977.8,299636,MCX.NS,50.998
2020-03-23,2020,819.3,195117,MCX.NS,50.998
2020-03-24,2020,812.5,371054,MCX.NS,50.998
2020-03-25,2020,881.7,545956,MCX.NS,50.998
2020-03-26,2020,877.5,566905,MCX.NS,50.998
2020-03-27,2020,973.9,924629,MCX.NS,50.998
2020-03-30,2020,973.0,227734,MCX.NS,50.998
2020-03-31,2020,1057.1,1369271,MCX.NS,50.998
2020-04-01,2020,961.7,190656,MCX.NS,50.998
2020-04-03,2020,927.9,223204,MCX.NS,50.998
2020-04-07,2020,945.4,378443,MCX.NS,50.998
2020-04-08,2020,952.1,574326,MCX.NS,50.998
2020-04-09,2020,939.0,550838,MCX.NS,50.998
2020-04-13,2020,971.8,368819,MCX.NS,50.998
2020-04-15,2020,964.8,313816,MCX.NS,50.998
2020-04-16,2020,988.7,180019,MCX.NS,50.998
2020-04-17,2020,1044.6,614914,MCX.NS,50.998
2020-04-20,2020,1081.5,379095,MCX.NS,50.998
2020-04-21,2020,961.5,595687,MCX.NS,50.998
2020-04-22,2020,931.5,1256144,MCX.NS,50.998
2020-04-23,2020,995.3,737955,MCX.NS,50.998
2020-04-24,2020,1009.3,663988,MCX.NS,50.998
2020-04-27,2020,1041.1,335288,MCX.NS,50.998
2020-04-28,2020,1030.3,371766,MCX.NS,50.998
2020-04-29,2020,982.4,302193,MCX.NS,50.998
2020-04-30,2020,1003.8,729267,MCX.NS,50.998
2020-05-04,2020,1020.3,339916,MCX.NS,50.998
2020-05-05,2020,998.2,423262,MCX.NS,50.998
2020-05-06,2020,1020.9,163838,MCX.NS,50.998
2020-05-07,2020,1042.5,226143,MCX.NS,50.998
2020-05-08,2020,1054.0,249851,MCX.NS,50.998
2020-05-11,2020,1049.4,230427,MCX.NS,50.998
2020-05-12,2020,1044.2,113635,MCX.NS,50.998
2020-05-13,2020,1041.4,148838,MCX.NS,50.998
2020-05-14,2020,1045.1,146562,MCX.NS,50.998
2020-05-15,2020,1087.6,427236,MCX.NS,50.998
2020-05-18,2020,1048.5,193389,MCX.NS,50.998
2020-05-19,2020,1053.2,160254,MCX.NS,50.998
2020-05-20,2020,1052.9,279064,MCX.NS,50.998
2020-05-21,2020,1062.5,101357,MCX.NS,50.998
2020-05-22,2020,1063.1,145884,MCX.NS,50.998
2020-05-26,2020,1129.1,386063,MCX.NS,50.998
2020-05-27,2020,1207.1,439235,MCX.NS,50.998
2020-05-28,2020,1189.4,236157,MCX.NS,50.998
2020-05-29,2020,1248.7,566247,MCX.NS,50.998
2020-06-01,2020,1223.9,583498,MCX.NS,50.998
2020-06-02,2020,1221.5,545746,MCX.NS,50.998
2020-06-03,2020,1210.8,485084,MCX.NS,50.998
2020-06-04,2020,1147.4,304537,MCX.NS,50.998
2020-06-05,2020,1138.0,203761,MCX.NS,50.998
2020-06-08,2020,1128.1,275085,MCX.NS,50.998
2020-06-09,2020,1122.0,414585,MCX.NS,50.998
2020-06-10,2020,1131.1,235803,MCX.NS,50.998
2020-06-11,2020,1128.8,271957,MCX.NS,50.998
2020-06-12,2020,1142.1,465377,MCX.NS,50.998
2020-06-15,2020,1190.7,479365,MCX.NS,50.998
2020-06-16,2020,1178.9,270326,MCX.NS,50.998
