,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
75,500164,GODREJ INDUSTRIES LTD.,GODREJIND,"29,278.63 Cr.","5,562.94 Cr.",Diversified
76,500165,KANSAI NEROLAC PAINTS LTD.,KANSAINER,"22,626.54 Cr.","5,656.64 Cr.",Consumer Durables
77,500166,GOODRICKE GROUP LTD.,GOODRICKE,371.63 Cr.,92.91 Cr.,Fast Moving Consumer Goods
78,500168,GOODYEAR INDIA LTD.,GOODYEAR,"2,694.63 Cr.",646.71 Cr.,Automobile and Auto Components
79,500170,GTN INDUSTRIES LTD.,GTNINDS,56.57 Cr.,14.14 Cr.,Textiles
80,500171,GHCL LTD.,GHCL,"5,086.77 Cr.","4,018.55 Cr.",Chemicals
81,500173,GFL Ltd,GFLLIMITED,911.97 Cr.,282.71 Cr.,Financial Services
82,500174,GUJARAT LEASE FINANCING LTD.,GLFL,24.41 Cr.,13.18 Cr.,Financial Services
83,500179,HCL INFOSYSTEMS LTD.,HCL-INSYS,622.54 Cr.,217.89 Cr.,Information Technology
84,500180,HDFC Bank Ltd,HDFCBANK,"11,46,943.59 Cr.","11,35,474.15 Cr.",Financial Services
85,500182,HERO MOTOCORP LTD.,HEROMOTOCO,"89,801.85 Cr.","58,371.20 Cr.",Automobile and Auto Components
86,500183,HFCL Ltd,HFCL,"13,789.20 Cr.","8,549.30 Cr.",Telecommunication
87,500184,Himadri Speciality Chemical Ltd,HSCL,"18,331.91 Cr.","9,715.91 Cr.",Chemicals
88,500185,HINDUSTAN CONSTRUCTION CO.LTD.,HCC,"6,347.57 Cr.","5,141.53 Cr.",Construction
89,500186,HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP,"2,735.45 Cr.","2,051.59 Cr.","Oil, Gas & Consumable Fuels"
90,500187,Agi Greenpac Ltd,AGI,"5,304.54 Cr.","2,068.77 Cr.",Capital Goods
91,500188,HINDUSTAN ZINC LTD.,HINDZINC,"1,78,139.45 Cr.","10,688.37 Cr.",Metals & Mining
92,500189,NDL Ventures Ltd,NDLVENTURE,351.03 Cr.,94.78 Cr.,Financial Services
93,500191,HMT LTD.,HMT,"2,783.08 Cr.",27.83 Cr.,Capital Goods
94,500192,PRAG BOSIMI SYNTHETICS LTD.,PRAGBOS,23.80 Cr.,12.38 Cr.,Textiles
95,500193,HLV Ltd,HLVLTD,"1,884.82 Cr.",339.27 Cr.,Consumer Services
96,500199,I G PETROCHEMICALS LTD.,IGPL,"1,573.62 Cr.",440.61 Cr.,Chemicals
97,500201,INDIA GLYCOLS LTD.,INDIAGLYCO,"2,602.16 Cr.",988.82 Cr.,Chemicals
98,500202,INDIA LEASE DEVELOPMENT LTD.,INDLEASE,14.98 Cr.,4.49 Cr.,Financial Services
99,500206,Margo Finance Limited,MARGOFIN,18.23 Cr.,8.57 Cr.,Financial Services
100,500207,INDO RAMA SYNTHETICS (INDIA) LTD.,INDORAMA,"1,184.93 Cr.",296.23 Cr.,Textiles
101,500209,INFOSYS LTD.,INFY,"5,93,636.31 Cr.","5,10,527.23 Cr.",Information Technology
102,500210,INGERSOLL-RAND (INDIA) LTD.,INGERRAND,"12,435.58 Cr.","3,108.90 Cr.",Capital Goods
103,500213,INTERNATIONAL TRAVEL HOUSE LTD.,ITHL,567.61 Cr.,204.34 Cr.,Consumer Services
104,500214,ION EXCHANGE (INDIA) LTD.,IONEXCHANG,"8,035.86 Cr.","4,500.08 Cr.",Utilities
105,500215,AGRO TECH FOODS LTD.,ATFL,"1,848.77 Cr.",868.92 Cr.,Fast Moving Consumer Goods
106,500219,JAIN IRRIGATION SYSTEMS LTD.,JISLJALEQS,"3,960.75 Cr.","1,940.77 Cr.",Capital Goods
107,500220,JASCH INDUSTRIES LTD.,JASCH,136.16 Cr.,49.02 Cr.,Textiles
108,500223,JCT LTD.,JCTLTD,248.34 Cr.,181.29 Cr.,Textiles
109,500227,JINDAL POLY FILMS LTD.,JINDALPOLY,"2,555.38 Cr.",638.84 Cr.,Capital Goods
110,500228,JSW STEEL LTD.,JSWSTEEL,"2,16,813.95 Cr.","84,557.44 Cr.",Metals & Mining
111,500231,UMANG DAIRIES LTD.,UMANGDAIRY,212.92 Cr.,46.84 Cr.,Fast Moving Consumer Goods
